# 核反应率计算结果汇总
# 能谱文件: Spectrum.txt
# 截面文件目录: TENDL_Downloads
# 计算时间: 2025-11-23T03:57:52
#================================================================================
# 产物名称	反应率 R (reactions/s)	积分值 (b*#/cm²*MeV)	数据点数
#================================================================================
rp084221	0.000000e+00	0.000000e+00	53
rp084222	0.000000e+00	0.000000e+00	53
rp084223	0.000000e+00	0.000000e+00	53
rp084224	0.000000e+00	0.000000e+00	53
rp085200	0.000000e+00	0.000000e+00	53
rp085201	0.000000e+00	0.000000e+00	53
rp085202	0.000000e+00	0.000000e+00	53
rp085203	0.000000e+00	0.000000e+00	53
rp085204	0.000000e+00	0.000000e+00	53
rp085205	0.000000e+00	0.000000e+00	53
rp085206	0.000000e+00	0.000000e+00	53
rp085207	0.000000e+00	0.000000e+00	53
rp085208	0.000000e+00	0.000000e+00	53
rp085209	0.000000e+00	0.000000e+00	53
rp085210	0.000000e+00	0.000000e+00	53
rp085211	0.000000e+00	0.000000e+00	53
rp085212	0.000000e+00	0.000000e+00	53
rp085213	0.000000e+00	0.000000e+00	53
rp085214	0.000000e+00	0.000000e+00	53
rp085215	0.000000e+00	0.000000e+00	53
rp085216	0.000000e+00	0.000000e+00	53
rp085217	0.000000e+00	0.000000e+00	53
rp085218	0.000000e+00	0.000000e+00	53
rp085219	0.000000e+00	0.000000e+00	53
rp085220	0.000000e+00	0.000000e+00	53
rp085221	0.000000e+00	0.000000e+00	53
rp085222	0.000000e+00	0.000000e+00	53
rp085224	0.000000e+00	0.000000e+00	53
rp085225	0.000000e+00	0.000000e+00	53
rp086201	0.000000e+00	0.000000e+00	53
rp086202	0.000000e+00	0.000000e+00	53
rp086203	0.000000e+00	0.000000e+00	53
rp086204	0.000000e+00	0.000000e+00	53
rp086205	0.000000e+00	0.000000e+00	53
rp086206	0.000000e+00	0.000000e+00	53
rp086207	0.000000e+00	0.000000e+00	53
rp086208	0.000000e+00	0.000000e+00	53
rp086209	0.000000e+00	0.000000e+00	53
rp086210	0.000000e+00	0.000000e+00	53
rp086211	0.000000e+00	0.000000e+00	53
rp086212	0.000000e+00	0.000000e+00	53
rp086213	0.000000e+00	0.000000e+00	53
rp086214	0.000000e+00	0.000000e+00	53
rp086215	0.000000e+00	0.000000e+00	53
