Segments	Energy	Value	Error
4	0.0441204	0.00016336	0.0003
4	0.049162	0.000174947	0.0003
4	0.0547796	0.000190438	0.0003
4	0.0610392	0.00020379	0.0003
4	0.068014	0.000217782	0.0003
4	0.0757858	0.000232414	0.0003
4	0.0844457	0.000252271	0.0003
4	0.0940952	0.000269171	0.0003
4	0.104847	0.000286813	0.0003
4	0.116828	0.000304889	0.0004
4	0.130178	0.000329106	0.0004
4	0.145053	0.00034943	0.0004
4	0.161628	0.000370307	0.0004
4	0.180097	0.00039099	0.0004
4	0.200676	0.000418586	0.0004
4	0.223607	0.000441278	0.0005
4	0.249158	0.000463823	0.0005
4	0.277629	0.000485175	0.0005
4	0.309353	0.000513697	0.0005
4	0.344702	0.000536039	0.0005
4	0.38409	0.000557718	0.0006
4	0.42798	0.000578256	0.0006
4	0.476884	0.000605948	0.0006
4	0.531377	0.000627583	0.0006
4	0.592096	0.000648165	0.0007
4	0.659754	0.00066599	0.0007
4	0.735143	0.000691034	0.0007
4	0.819146	0.000710119	0.0007
4	0.912748	0.000728948	0.0008
4	1.01705	0.000744357	0.0008
4	1.13326	0.000767508	0.0008
4	1.26276	0.000785496	0.0009
4	1.40705	0.00080358	0.0009
4	1.56783	0.000818137	0.0009
4	1.74699	0.000841257	0.001
4	1.94661	0.000861579	0.001
4	2.16905	0.000883217	0.0011
4	2.4169	0.000901489	0.0011
4	2.69307	0.000928274	0.0011
4	3.00081	0.000953932	0.0012
4	3.3437	0.000984781	0.0012
4	3.72578	0.00101356	0.0012
4	4.15152	0.00105515	0.0013
4	4.6259	0.00109738	0.0013
4	5.1545	0.00114505	0.0013
4	5.74349	0.00119209	0.0014
4	6.39979	0.00126134	0.0014
4	7.13108	0.00133413	0.0014
4	7.94594	0.00141947	0.0014
4	8.8539	0.00151018	0.0014
4	9.86562	0.00162907	0.0014
4	10.9929	0.00175788	0.0014
4	12.2491	0.00191356	0.0014
4	13.6488	0.00209006	0.0014
4	15.2084	0.0023264	0.0014
4	16.9462	0.00260388	0.0013
4	18.8826	0.00296396	0.0013
4	21.0403	0.00340338	0.0012
4	23.4446	0.00401907	0.0011
4	26.1235	0.00485309	0.001
4	29.1086	0.00601803	0.0009
4	32.4348	0.0077469	0.0008
4	36.1411	0.0107183	0.0007
4	40.2708	0.016013	0.0006
4	44.8725	0.00498339	0.001
4	50.0	5.36366e-07	0.0905
5	0.001	0.0	0.0
5	0.00111427	1.4916e-05	0.0002
5	0.00124159	1.57126e-05	0.0002
5	0.00138347	1.65192e-05	0.0002
5	0.00154155	1.74723e-05	0.0002
5	0.0017177	1.86975e-05	0.0002
5	0.00191398	1.97986e-05	0.0002
5	0.00213269	2.09447e-05	0.0002
5	0.00237639	2.22841e-05	0.0002
5	0.00264793	2.40134e-05	0.0002
