Nuclide,State,Energy,Intensity
Cu64,0,1345.77,2081520.0
Cu64,0,511.0,154261800.0
Cu64,0,0.874,2165842.72240913
Cu64,0,7.461,21594766.38163733
Cu64,0,7.478,42144352.81349987
Cu64,0,8.296,8783250.625089904
Cu64,0,8.296,8783250.625089904
Mo99,0,40.58323,16092.409999999998
Mo99,0,89.4,47.275000000000006
Mo99,0,158.782,272.30400000000003
Mo99,0,162.37,185.31799999999998
Mo99,0,181.068,93793.59999999999
Mo99,0,242.29,39.711
Mo99,0,249.03,60.512
Mo99,0,366.421,18607.44
Mo99,0,380.13,162.626
Mo99,0,391.7,49.166
Mo99,0,410.27,30.256
Mo99,0,411.491,232.59300000000002
Mo99,0,455.84,20.801000000000002
Mo99,0,457.6,126.69700000000002
Mo99,0,469.63,41.602000000000004
Mo99,0,490.53,17.019000000000002
Mo99,0,528.788,824.476
Mo99,0,537.79,51.057
Mo99,0,580.51,49.166
Mo99,0,581.3,15.128
Mo99,0,599.6,32.147
Mo99,0,620.03,433.03900000000004
Mo99,0,621.771,283.65
Mo99,0,689.6,6.6185
Mo99,0,739.5,189100.0
Mo99,0,761.77,6.2402999999999995
Mo99,0,777.921,66752.3
Mo99,0,822.972,2080.1000000000004
Mo99,0,861.2,11.346
Mo99,0,960.754,1474.98
Mo99,0,986.44,22.692
Mo99,0,1001.343,85.095
Mo99,0,1017.0,9.455
Mo99,0,1056.2,16.829900000000002
Mo99,0,2.586,3046.7046883162443
Mo99,0,18.25,14433.444718004765
Mo99,0,18.367,27445.226693296758
Mo99,0,20.695,7294.411073971948
Mo99,0,20.82,8446.928023659517
Mo99,0,21.003,1152.5169496875678
Tc93,0,114.2,219188.19999999998
Tc93,0,171.0,398523.99999999994
Tc93,0,1362.94,199262000.0
Tc93,0,1381.64,1713653.2000000002
Tc93,0,1424.6,777121.8
Tc93,0,1477.14,26103322.0
Tc93,0,1520.28,73328416.0
Tc93,0,1538.8,2291513.0
Tc93,0,2409.05,952472.36
Tc93,0,2479.0,135498.16
Tc93,0,2730.8,1056088.6
Tc93,0,2821.8,89667.90000000001
Tc93,0,2902.0,263025.84
Tc93,0,3025.8,47822.88
Tc93,0,511.0,65798600.0
Tc93,0,2.44,10236254.53687734
Tc93,0,17.374,51397007.76730824
Tc93,0,17.479,97955036.72061796
Tc93,0,19.681,25703046.824351948
Tc93,0,19.794,29661316.035302147
Tc93,0,19.963,3958269.2109502
Tc94,0,83.0,27069903.0
Tc94,0,449.2,182307510.0
Tc94,0,532.1,129825044.99999999
Tc94,0,702.67,5507896590.0
Tc94,0,742.3,66846087.0
Tc94,0,849.74,5292442260.0
Tc94,0,871.05,5524470000.0
Tc94,0,916.1,419859720.0
Tc94,0,1509.3,37566396.0
Tc94,0,1592.1,124300575.0
Tc94,0,1765.6,16020963.000000002
Tc94,0,511.0,1163954400.0
Tc94,0,2.44,188573148.25805768
Tc94,0,17.374,945844757.2941717
Tc94,0,17.479,1802639141.0218635
Tc94,0,19.681,473005981.1140074
Tc94,0,19.794,545848902.2055646
Tc94,0,19.963,72842921.09155713
Tc95,0,125.8,710029.76
Tc95,0,126.03,177507.44
Tc95,0,181.88,43570.008
Tc95,0,204.12,5228400.96
Tc95,0,307.93,597070.48
Tc95,0,467.1,1613.7040000000002
Tc95,0,477.7,225918.56
Tc95,0,495.16,24205.56
Tc95,0,561.67,242055.6
Tc95,0,593.16,371151.92
Tc95,0,604.04,5228400.96
Tc95,0,765.789,1613704000.0
Tc95,0,774.99,290466.72
Tc95,0,785.93,2501241.1999999997
Tc95,0,869.6,5454319.52
Tc95,0,947.67,33565043.2
Tc95,0,1056.7,25819.264000000003
Tc95,0,1073.71,64386789.6
Tc95,0,1221.9,161370.4
Tc95,0,1441.0,11295.928
Tc95,0,1551.71,351787.472
Tc95,0,1645.0,9682.224
Tc95,0,1683.0,161.3704
Tc95,0,2.44,65677485.46852387
Tc95,0,17.374,329122405.88609767
Tc95,0,17.479,627258254.0234375
Tc95,0,19.681,164590293.81112102
Tc95,0,19.794,189937199.05803367
Tc95,0,19.963,25346905.24691264
Tc96,0,120.3,123702.40000000001
Tc96,0,219.4,123702.40000000001
Tc96,0,241.6,247404.80000000002
Tc96,0,314.27,7545846.399999999
Tc96,0,316.5,4329584.0
Tc96,0,349.9,216479.2
Tc96,0,350.1,61851.200000000004
Tc96,0,352.5,61851.200000000004
Tc96,0,371.8,216479.2
Tc96,0,434.71,2319420.0
Tc96,0,460.04,1329800.8
Tc96,0,481.0,247404.80000000002
Tc96,0,535.78,1267949.5999999999
Tc96,0,568.88,2845155.2
Tc96,0,591.3,340181.6
Tc96,0,719.5,618512.0
Tc96,0,721.5,371107.2
Tc96,0,778.22,309256000.0
Tc96,0,812.54,254208432.0
Tc96,0,847.7,58758.64
Tc96,0,849.86,302452368.0
Tc96,0,885.4,309256.0
Tc96,0,1091.3,3401815.9999999995
Tc96,0,1126.85,47006912.0
Tc96,0,1200.17,1144247.2
Tc96,0,1441.14,166998.24
