Nuclide,State,Energy,Intensity
Tc95,0,477.7,3.0735432e-06
Tc95,0,495.16,3.293082e-07
Tc95,0,561.67,3.2930820000000002e-06
Tc95,0,593.16,5.0493924e-06
Tc95,0,604.04,7.11305712e-05
Tc95,0,765.789,0.02195388
Tc95,0,774.99,3.9516984e-06
Tc95,0,785.93,3.4028514e-05
Tc95,0,869.6,7.42041144e-05
Tc95,0,947.67,0.000456640704
Tc95,0,1056.7,3.5126208e-07
Tc95,0,1073.71,0.0008759598120000001
Tc95,0,1221.9,2.195388e-06
Tc95,0,1441.0,1.5367715999999998e-07
Tc95,0,1551.71,4.78594584e-06
Tc95,0,1645.0,1.3172327999999998e-07
Tc95,0,1683.0,2.195388e-09
Tc95,0,2.44,0.0008935192790485224
Tc95,0,17.374,0.00447759552193877
Tc95,0,17.479,0.008533629734970022
Tc95,0,19.681,0.0022391935320815303
Tc95,0,19.794,0.002584029336022086
Tc95,0,19.963,0.00034483580394055566
Tc96,0,120.3,993.6096
Tc96,0,219.4,993.6096
Tc96,0,241.6,1987.2192
Tc96,0,314.27,60610.1856
Tc96,0,316.5,34776.336
Tc96,0,349.9,1738.8168
Tc96,0,350.1,496.8048
Tc96,0,352.5,496.8048
Tc96,0,371.8,1738.8168
Tc96,0,434.71,18630.18
Tc96,0,460.04,10681.3032
Tc96,0,481.0,1987.2192
Tc96,0,535.78,10184.4984
Tc96,0,568.88,22853.020800000002
Tc96,0,591.3,2732.4264
Tc96,0,719.5,4968.048
Tc96,0,721.5,2980.8288
Tc96,0,778.22,2484024.0
Tc96,0,812.54,2041867.728
Tc96,0,847.7,471.96456
Tc96,0,849.86,2429375.472
Tc96,0,885.4,2484.024
Tc96,0,1091.3,27324.263999999996
Tc96,0,1126.85,377571.648
Tc96,0,1200.17,9190.8888
Tc96,0,1441.14,1341.37296
Tc96,0,1497.72,2310.1423200000004
Tc96,0,1625.7,24.840239999999998
Tc96,0,2.44,94620.0
Tc96,0,17.374,470609.99999999994
Tc96,0,17.479,898890.0
Tc96,0,19.681,236550.0
Tc96,0,19.794,271410.0
Tc96,0,19.963,36354.0
Re181,0,19.7,5.6166e-07
Re181,0,31.1,3.914600000000001e-06
Re181,0,38.1,1.3616000000000001e-05
Re181,0,43.5,0.000105524
Re181,0,65.0,0.00054464
Re181,0,71.7,2.553e-05
Re181,0,72.7,4.9358000000000004e-05
Re181,0,93.7,2.7232000000000003e-05
Re181,0,102.7,5.957e-05
Re181,0,103.1,3.9146e-05
Re181,0,109.9,0.0006127200000000001
Re181,0,110.3,0.00022126
Re181,0,113.3,0.00015318000000000002
Re181,0,125.8,2.3828e-05
Re181,0,137.2,1.5318e-05
Re181,0,144.3,8.51e-05
Re181,0,154.4,6.1272e-05
Re181,0,163.9,2.8934e-05
Re181,0,164.6,2.8934e-05
Re181,0,165.8,2.8934e-05
Re181,0,167.2,2.2125999999999998e-05
Re181,0,175.2,0.00010212
Re181,0,177.5,0.00037443999999999997
Re181,0,186.2,4.255e-05
Re181,0,193.2,1.8722e-05
Re181,0,195.0,3.7444e-05
Re181,0,197.0,0.00011914
Re181,0,201.0,4.255e-05
Re181,0,211.7,2.0424000000000003e-05
Re181,0,213.0,2.553e-05
Re181,0,237.4,2.2125999999999998e-05
Re181,0,239.3,2.0424000000000003e-05
Re181,0,245.5,2.553e-05
Re181,0,252.2,0.00022466400000000002
Re181,0,262.6,4.9358000000000004e-05
Re181,0,276.4,0.000146372
Re181,0,278.1,3.7444e-05
Re181,0,279.5,2.3828e-05
Re181,0,296.0,4.7656e-05
Re181,0,297.0,2.553e-05
Re181,0,316.7,2.0424000000000003e-05
Re181,0,318.6,0.0002553
Re181,0,331.9,0.00030636000000000004
Re181,0,340.8,8.51e-06
Re181,0,350.4,7.999400000000001e-05
Re181,0,353.6,0.00010212
Re181,0,356.1,0.00039146
Re181,0,360.7,0.00454434
Re181,0,365.5,0.012986260000000001
Re181,0,376.8,3.0636e-05
Re181,0,382.3,6.1272e-05
Re181,0,398.0,0.00014807400000000002
Re181,0,409.0,5.6166000000000004e-05
Re181,0,412.3,0.00023828
Re181,0,420.0,2.3828e-05
Re181,0,441.8,0.00023828
Re181,0,441.8,0.00010212
Re181,0,475.6,0.00023828
Re181,0,487.1,0.0001702
Re181,0,489.0,0.0001702
Re181,0,515.7,3.7444e-05
Re181,0,522.1,5.2762e-05
Re181,0,524.4,4.4251999999999996e-05
Re181,0,533.3,1.3616000000000001e-05
Re181,0,544.8,6.637800000000001e-05
Re181,0,557.8,0.00049358
Re181,0,570.1,0.000105524
Re181,0,587.4,0.00015828600000000002
Re181,0,628.8,3.0636e-05
Re181,0,632.7,3.7444e-05
Re181,0,639.0,0.00148074
Re181,0,643.9,0.000131054
Re181,0,651.2,0.00023828
Re181,0,659.2,5.2762e-05
Re181,0,661.8,0.0006808
Re181,0,668.2,7.148400000000001e-05
Re181,0,691.8,2.7232000000000003e-05
Re181,0,693.9,5.6166000000000004e-05
Re181,0,696.9,1.3616000000000001e-05
