X	Y	Value
175.5	-441	0.0401832
180	-441	0.0285114
184.5	-441	0.0342282
189	-441	0.0290112
193.5	-441	0.0305376
198	-441	0.0287358
202.5	-441	0.0284694
207	-441	0.0313344
211.5	-441	0.0286572
216	-441	0.0233874
220.5	-441	0.0235164
225	-441	0.037251
229.5	-441	0.0236742
234	-441	0.0264342
238.5	-441	0.0242586
243	-441	0.0256068
247.5	-441	0.0266202
252	-441	0.0154002
256.5	-441	0.0181716
261	-441	0.0166128
265.5	-441	0.0180864
270	-441	0.0186042
274.5	-441	0.0127494
279	-441	0.0191586
283.5	-441	0.0179688
288	-441	0.0203466
292.5	-441	0.0156054
297	-441	0.0109284
301.5	-441	0.0158604
306	-441	0.0192252
310.5	-441	0.012825
319.5	-441	0.0078156
324	-441	0.0099582
328.5	-441	0.010149
333	-441	0.0094176
337.5	-441	0.009453
342	-441	0.005232
346.5	-441	0.006177
351	-441	0.0059136
355.5	-441	0.0083562
360	-441	0.0061578
364.5	-441	0.0051972
369	-441	0.0039366
400.5	-441	0.0029334
405	-441	0.0021516
414	-441	0.0023088
432	-441	0.0007854
-450	-436.5	0.000543
-427.5	-436.5	0.0004806
-396	-436.5	0.0007656
-369	-436.5	0.0009918
-364.5	-436.5	0.0007026
-351	-436.5	0.0008646
-346.5	-436.5	0.001245
-342	-436.5	0.0029232
-337.5	-436.5	0.0016878
-333	-436.5	0.0011292
-324	-436.5	0.0012852
-319.5	-436.5	0.0011106
-315	-436.5	0.0011004
-310.5	-436.5	0.0017418
-297	-436.5	0.003846
-292.5	-436.5	0.0013866
-283.5	-436.5	0.0020898
-261	-436.5	0.0040848
-252	-436.5	0.0040044
-247.5	-436.5	0.003921
-229.5	-436.5	0.006579
-225	-436.5	0.0062034
-193.5	-436.5	0.0115878
-166.5	-436.5	0.011523
-162	-436.5	0.0115878
-153	-436.5	0.010548
-148.5	-436.5	0.0126492
-144	-436.5	0.0171342
-139.5	-436.5	0.0228582
-135	-436.5	0.0143826
-126	-436.5	0.0168846
-121.5	-436.5	0.0199638
-117	-436.5	0.0167058
-112.5	-436.5	0.0203502
-108	-436.5	0.0321816
-103.5	-436.5	0.037638
-99	-436.5	0.0282552
-94.5	-436.5	0.0228546
-90	-436.5	0.0267978
-85.5	-436.5	0.0339936
-81	-436.5	0.0309582
-76.5	-436.5	0.0283314
-72	-436.5	0.028074
-67.5	-436.5	0.0189804
-63	-436.5	0.0179046
-58.5	-436.5	0.0230892
-54	-436.5	0.020256
-49.5	-436.5	0.0175632
-45	-436.5	0.0166104
-40.5	-436.5	0.0180366
-36	-436.5	0.0183636
-31.5	-436.5	0.0236646
-27	-436.5	0.0222648
-22.5	-436.5	0.0215664
-18	-436.5	0.0256614
-13.5	-436.5	0.0215148
-9	-436.5	0.0205938
-4.5	-436.5	0.0269682
0	-436.5	0.0245118
4.5	-436.5	0.0230406
9	-436.5	0.034602
13.5	-436.5	0.027798
18	-436.5	0.0241026
22.5	-436.5	0.028101
27	-436.5	0.0291486
31.5	-436.5	0.0272748
36	-436.5	0.0366546
40.5	-436.5	0.0285354
45	-436.5	0.0261474
49.5	-436.5	0.0212916
54	-436.5	0.0276354
58.5	-436.5	0.0338232
63	-436.5	0.0279762
67.5	-436.5	0.0273396
72	-436.5	0.0256356
76.5	-436.5	0.0371364
81	-436.5	0.0271776
85.5	-436.5	0.030051
90	-436.5	0.0254922
94.5	-436.5	0.0295902
99	-436.5	0.040428
103.5	-436.5	0.0314796
108	-436.5	0.0369216
112.5	-436.5	0.0299604
117	-436.5	0.037566
121.5	-436.5	0.0292488
126	-436.5	0.037353
130.5	-436.5	0.0497232
135	-436.5	0.0362466
139.5	-436.5	0.0465132
144	-436.5	0.0373716
148.5	-436.5	0.0406176
153	-436.5	0.0322026
157.5	-436.5	0.0445302
162	-436.5	0.0505638
166.5	-436.5	0.0401508
171	-436.5	0.0321534
175.5	-436.5	0.0395442
180	-436.5	0.0306576
184.5	-436.5	0.0357372
189	-436.5	0.0333828
193.5	-436.5	0.0345198
198	-436.5	0.0351648
202.5	-436.5	0.0339612
207	-436.5	0.0334116
211.5	-436.5	0.0343992
216	-436.5	0.028059
220.5	-436.5	0.033483
225	-436.5	0.0302934
229.5	-436.5	0.0240828
234	-436.5	0.0222234
238.5	-436.5	0.0233268
243	-436.5	0.025086
247.5	-436.5	0.0279654
252	-436.5	0.0222846
256.5	-436.5	0.0235602
261	-436.5	0.0238434
265.5	-436.5	0.023301
270	-436.5	0.0142254
274.5	-436.5	0.0182352
279	-436.5	0.0201096
283.5	-436.5	0.0219006
288	-436.5	0.0161028
292.5	-436.5	0.0101136
297	-436.5	0.0149622
301.5	-436.5	0.0126528
306	-436.5	0.0113466
310.5	-436.5	0.0072834
315	-436.5	0.0075714
319.5	-436.5	0.0085986
324	-436.5	0.0112716
328.5	-436.5	0.007266
333	-436.5	0.0074034
337.5	-436.5	0.0067212
342	-436.5	0.0066936
346.5	-436.5	0.0052866
351	-436.5	0.009627
355.5	-436.5	0.007767
369	-436.5	0.0067302
382.5	-436.5	0.0024168
387	-436.5	0.0048252
405	-436.5	0.0040104
409.5	-436.5	0.0059712
414	-436.5	0.0022788
418.5	-436.5	0.0007752
427.5	-436.5	0.001011
436.5	-436.5	0.0041802
-391.5	-432	0.000552
-387	-432	0.0003954
-382.5	-432	0.0003312
-369	-432	0.0008142
-364.5	-432	0.0007572
-346.5	-432	0.0006216
-342	-432	0.0010368
-337.5	-432	0.0013194
-333	-432	0.0012144
-328.5	-432	0.0010758
-324	-432	0.0011742
-315	-432	0.0012678
-306	-432	0.0017244
-297	-432	0.0038016
-292.5	-432	0.0020928
-288	-432	0.002073
-283.5	-432	0.0017016
-261	-432	0.0035976
-252	-432	0.0033792
-247.5	-432	0.0035178
-243	-432	0.0039102
-238.5	-432	0.0032214
-225	-432	0.0058728
-220.5	-432	0.0068802
-211.5	-432	0.0109878
-189	-432	0.0082218
-184.5	-432	0.0069222
-180	-432	0.0120684
-171	-432	0.0058212
-166.5	-432	0.0095478
-162	-432	0.0089112
-157.5	-432	0.010947
-144	-432	0.0115938
-135	-432	0.0205266
-130.5	-432	0.016284
-126	-432	0.013827
-121.5	-432	0.0258774
-117	-432	0.014007
-112.5	-432	0.017853
-103.5	-432	0.038634
-99	-432	0.0258006
-94.5	-432	0.0298746
-90	-432	0.023634
-85.5	-432	0.0304272
-81	-432	0.0348492
-76.5	-432	0.0263142
-72	-432	0.0307794
-67.5	-432	0.0199596
-63	-432	0.0199746
-58.5	-432	0.0229302
-54	-432	0.021993
-49.5	-432	0.026931
-45	-432	0.0240576
-40.5	-432	0.0178194
-36	-432	0.0224202
-31.5	-432	0.024315
-27	-432	0.0266226
-22.5	-432	0.0217074
-18	-432	0.0336816
-13.5	-432	0.0219156
-9	-432	0.0233616
-4.5	-432	0.02418
0	-432	0.0263616
4.5	-432	0.0206844
9	-432	0.0276768
13.5	-432	0.0284064
18	-432	0.02628
22.5	-432	0.024375
27	-432	0.0199314
31.5	-432	0.019986
36	-432	0.0382176
40.5	-432	0.025617
45	-432	0.0275148
49.5	-432	0.0258012
54	-432	0.0262134
58.5	-432	0.0302862
63	-432	0.034596
67.5	-432	0.029073
72	-432	0.030021
76.5	-432	0.0335886
81	-432	0.0263226
85.5	-432	0.0305832
90	-432	0.0336684
94.5	-432	0.035001
99	-432	0.040617
103.5	-432	0.0316674
108	-432	0.0301434
112.5	-432	0.0302862
117	-432	0.0289434
121.5	-432	0.027801
126	-432	0.0326298
130.5	-432	0.0588036
135	-432	0.0416802
139.5	-432	0.0441024
144	-432	0.04062
148.5	-432	0.040002
153	-432	0.0347466
157.5	-432	0.0491862
162	-432	0.0499212
166.5	-432	0.0375402
171	-432	0.0358668
175.5	-432	0.0323982
180	-432	0.0342738
184.5	-432	0.0327318
189	-432	0.0360462
193.5	-432	0.0309348
198	-432	0.0342066
202.5	-432	0.0353004
207	-432	0.0325008
211.5	-432	0.0343062
216	-432	0.0297792
220.5	-432	0.032928
225	-432	0.0311556
229.5	-432	0.0326274
234	-432	0.0307662
238.5	-432	0.0236964
243	-432	0.0217932
247.5	-432	0.0283716
252	-432	0.0214104
256.5	-432	0.0209754
261	-432	0.025782
265.5	-432	0.0150252
270	-432	0.0156612
274.5	-432	0.0175422
279	-432	0.018171
283.5	-432	0.0170394
288	-432	0.0157782
292.5	-432	0.0138282
297	-432	0.0141222
301.5	-432	0.0109746
306	-432	0.0091128
310.5	-432	0.0088554
315	-432	0.0108882
319.5	-432	0.0090222
324	-432	0.0093228
328.5	-432	0.0113166
333	-432	0.0058344
337.5	-432	0.0048864
342	-432	0.0064524
346.5	-432	0.0092322
351	-432	0.0059196
355.5	-432	0.004797
360	-432	0.0041412
364.5	-432	0.004443
369	-432	0.004071
387	-432	0.0046836
405	-432	0.0039678
409.5	-432	0.0049134
441	-432	0.000606
-441	-427.5	0.0002196
-405	-427.5	0.0003288
-391.5	-427.5	0.0006252
-387	-427.5	0.0004512
-382.5	-427.5	0.000375
-378	-427.5	0.0005418
-369	-427.5	0.000789
-364.5	-427.5	0.0010998
-360	-427.5	0.0004866
-355.5	-427.5	0.0006156
-351	-427.5	0.0008466
-346.5	-427.5	0.0013176
-342	-427.5	0.000984
-337.5	-427.5	0.0014298
-333	-427.5	0.0014376
-328.5	-427.5	0.0008748
-324	-427.5	0.0011388
-319.5	-427.5	0.0007446
-315	-427.5	0.0010446
-310.5	-427.5	0.0020604
-306	-427.5	0.001122
-297	-427.5	0.0024474
-292.5	-427.5	0.0018264
-288	-427.5	0.0013722
-283.5	-427.5	0.002163
-279	-427.5	0.0019854
-247.5	-427.5	0.0040266
-238.5	-427.5	0.0042384
-234	-427.5	0.0031086
-220.5	-427.5	0.0060822
-193.5	-427.5	0.0112032
-184.5	-427.5	0.0062196
-180	-427.5	0.007242
-171	-427.5	0.008862
-148.5	-427.5	0.0196398
-144	-427.5	0.01296
-139.5	-427.5	0.0226182
-135	-427.5	0.0214446
-130.5	-427.5	0.0166908
