Cor C	Cor B	Value	Error
-238.5	-441.0	0.00696232	0.2785
-234.0	-441.0	0.00956946	0.2056
-229.5	-441.0	0.0114109	0.2521
-225.0	-441.0	0.00936368	0.3987
-220.5	-441.0	0.0149679	0.2883
-216.0	-441.0	0.0149894	0.372
-211.5	-441.0	0.0307136	0.3348
-207.0	-441.0	0.0199861	0.258
-202.5	-441.0	0.0195985	0.2315
-198.0	-441.0	0.0172374	0.3068
-193.5	-441.0	0.0142608	0.198
-189.0	-441.0	0.0102429	0.1626
-184.5	-441.0	0.0189394	0.2727
-180.0	-441.0	0.0147183	0.3002
-175.5	-441.0	0.0126244	0.185
-171.0	-441.0	0.0148896	0.2331
-166.5	-441.0	0.0137412	0.1836
-162.0	-441.0	0.0183203	0.3743
-157.5	-441.0	0.0137745	0.2018
-153.0	-441.0	0.0141359	0.2166
-148.5	-441.0	0.0196159	0.236
-144.0	-441.0	0.0240588	0.2051
-139.5	-441.0	0.0271721	0.4179
-135.0	-441.0	0.0238587	0.2586
-130.5	-441.0	0.0162704	0.1216
-126.0	-441.0	0.0290595	0.3158
-121.5	-441.0	0.0328235	0.3583
-117.0	-441.0	0.0236665	0.2773
-112.5	-441.0	0.0250404	0.2163
-108.0	-441.0	0.0402739	0.4182
-103.5	-441.0	0.0380553	0.2924
-99.0	-441.0	0.0439007	0.2819
-94.5	-441.0	0.025502	0.2922
-90.0	-441.0	0.0330406	0.2784
-85.5	-441.0	0.0569607	0.3084
-81.0	-441.0	0.0383913	0.1825
-76.5	-441.0	0.0528171	0.3828
-72.0	-441.0	0.0239066	0.133
-67.5	-441.0	0.0217871	0.1042
-63.0	-441.0	0.0238142	0.0982
-58.5	-441.0	0.0266222	0.1094
-54.0	-441.0	0.0245778	0.1441
-49.5	-441.0	0.0218637	0.1645
-45.0	-441.0	0.0235365	0.1118
-40.5	-441.0	0.0180917	0.1099
-36.0	-441.0	0.0201064	0.1202
-31.5	-441.0	0.0287964	0.1486
-27.0	-441.0	0.0237738	0.1205
-22.5	-441.0	0.0243931	0.1293
-18.0	-441.0	0.0225725	0.1373
-13.5	-441.0	0.0245541	0.1455
-9.0	-441.0	0.0301299	0.1507
-4.5	-441.0	0.0267945	0.1264
0.0	-441.0	0.0276251	0.1214
4.5	-441.0	0.0249584	0.1273
9.0	-441.0	0.0435314	0.35
13.5	-441.0	0.02848	0.1634
18.0	-441.0	0.0261988	0.1416
22.5	-441.0	0.0290051	0.1752
27.0	-441.0	0.0359673	0.2315
31.5	-441.0	0.0280393	0.1534
36.0	-441.0	0.0518867	0.3107
40.5	-441.0	0.0380415	0.4901
45.0	-441.0	0.0250271	0.1029
49.5	-441.0	0.0219883	0.1018
54.0	-441.0	0.0343387	0.1265
58.5	-441.0	0.0342762	0.1669
63.0	-441.0	0.0328091	0.2309
67.5	-441.0	0.0283071	0.1403
72.0	-441.0	0.0268262	0.1433
76.5	-441.0	0.0392768	0.2235
81.0	-441.0	0.0321471	0.1458
85.5	-441.0	0.0415007	0.2899
90.0	-441.0	0.0202409	0.0891
94.5	-441.0	0.0251592	0.0995
99.0	-441.0	0.0360392	0.1268
103.5	-441.0	0.0294235	0.1344
108.0	-441.0	0.0239611	0.123
112.5	-441.0	0.0271226	0.1167
117.0	-441.0	0.0401769	0.278
121.5	-441.0	0.0300228	0.2698
126.0	-441.0	0.0316659	0.1324
130.5	-441.0	0.0356227	0.2318
135.0	-441.0	0.0253293	0.1053
139.5	-441.0	0.0332621	0.2331
144.0	-441.0	0.0333193	0.15
148.5	-441.0	0.0256573	0.1109
153.0	-441.0	0.0196739	0.0885
157.5	-441.0	0.0217622	0.0981
162.0	-441.0	0.024552	0.1157
166.5	-441.0	0.0289359	0.3072
171.0	-441.0	0.0241552	0.111
175.5	-441.0	0.0349878	0.2947
180.0	-441.0	0.0266965	0.1052
184.5	-441.0	0.0214518	0.1235
189.0	-441.0	0.021121	0.128
193.5	-441.0	0.0239728	0.1407
198.0	-441.0	0.0179853	0.1121
202.5	-441.0	0.019953	0.1636
207.0	-441.0	0.0248928	0.2069
211.5	-441.0	0.0173353	0.1044
216.0	-441.0	0.0162151	0.1084
220.5	-441.0	0.022618	0.2168
225.0	-441.0	0.0283439	0.3796
229.5	-441.0	0.0146333	0.1151
234.0	-441.0	0.0137979	0.1034
238.5	-441.0	0.0203634	0.1808
243.0	-441.0	0.0211827	0.1635
247.5	-441.0	0.0196578	0.1917
252.0	-441.0	0.0122733	0.1203
256.5	-441.0	0.0161435	0.1313
261.0	-441.0	0.0141068	0.1534
265.5	-441.0	0.0152738	0.1432
270.0	-441.0	0.0110686	0.1442
274.5	-441.0	0.00899613	0.1156
279.0	-441.0	0.0136289	0.1955
283.5	-441.0	0.012333	0.1451
288.0	-441.0	0.0195544	0.352
292.5	-441.0	0.0138724	0.2091
297.0	-441.0	0.00792124	0.1606
301.5	-441.0	0.0108838	0.161
306.0	-441.0	0.0127314	0.3109
310.5	-441.0	0.00900018	0.2261
315.0	-441.0	0.00523223	0.1379
319.5	-441.0	0.00690292	0.2011
324.0	-441.0	0.00861243	0.2708
328.5	-441.0	0.00575773	0.2108
333.0	-441.0	0.00559772	0.1815
337.5	-441.0	0.00594717	0.2048
342.0	-441.0	0.00663494	0.2187
346.5	-441.0	0.00594538	0.2617
351.0	-441.0	0.00536947	0.1956
355.5	-441.0	0.00599874	0.3756
360.0	-441.0	0.00436415	0.2422
364.5	-441.0	0.00495759	0.2019
369.0	-441.0	0.0032987	0.1657
373.5	-441.0	0.0033454	0.1871
378.0	-441.0	0.00294905	0.2256
382.5	-441.0	0.00251917	0.235
387.0	-441.0	0.00286193	0.2109
391.5	-441.0	0.00315626	0.2325
396.0	-441.0	0.00223896	0.2727
400.5	-441.0	0.00319115	0.3201
405.0	-441.0	0.00263361	0.6522
409.5	-441.0	0.00121669	0.2303
414.0	-441.0	0.000941659	0.2112
418.5	-441.0	0.00106282	0.2496
423.0	-441.0	0.00143013	0.3045
427.5	-441.0	0.00123462	0.3082
432.0	-441.0	0.00102843	0.2757
436.5	-441.0	0.00109912	0.2451
441.0	-441.0	0.00102306	0.2534
445.5	-441.0	0.00154503	0.2492
-450.0	-436.5	0.000820991	0.584
-445.5	-436.5	0.000596719	0.3379
-441.0	-436.5	0.000421797	0.3875
-436.5	-436.5	0.00045212	0.3626
