X	Z	Value
-9.09091	8.28283	8.91245
-9.09091	8.68687	9.55971
-9.09091	9.09091	0
-9.09091	9.49495	4.38843
-9.09091	9.89899	14.2935
-9.09091	10.303	11.2877
-9.09091	10.7071	10.5896
-9.09091	11.1111	0.450653
-9.09091	11.5152	8.1136
-9.09091	11.9192	11.6778
-9.09091	12.3232	17.1251
-9.09091	12.7273	3.81871
-9.09091	13.1313	7.9265
-9.09091	13.5354	0.00245579
-9.09091	13.9394	7.0692
-9.09091	14.3434	19.7275
-9.09091	14.7475	8.18405
-9.09091	15.1515	0
-9.09091	15.5556	4.34422
-9.09091	15.9596	16.983
-9.09091	16.3636	7.95098
-9.09091	16.7677	14.7897
-9.09091	17.1717	5.0477
-9.09091	17.5758	0.00447847
-9.09091	17.9798	0
-9.09091	18.3838	26.8765
-9.09091	18.7879	18.8531
-9.09091	19.1919	17.8299
-9.09091	19.596	15.6769
-9.09091	20	15.6769
-8.78788	-20	45.7559
-8.78788	-19.596	11.7331
-8.78788	-19.1919	12.845
-8.78788	-18.7879	26.9597
-8.78788	-18.3838	4.21442
-8.78788	-17.9798	14.1571
-8.78788	-17.5758	14.427
-8.78788	-17.1717	24.9136
-8.78788	-16.7677	33.5951
-8.78788	-16.3636	8.84682
-8.78788	-15.9596	11.318
-8.78788	-15.5556	15.5534
-8.78788	-15.1515	0.00209278
-8.78788	-14.7475	0.000357052
-8.78788	-14.3434	0
-8.78788	-13.9394	15.4734
-8.78788	-13.5354	9.84863
-8.78788	-13.1313	52.5182
-8.78788	-12.7273	42.7408
-8.78788	-12.3232	19.0631
-8.78788	-11.9192	0
-8.78788	-11.5152	1.84144
-8.78788	-11.1111	22.6706
-8.78788	-10.7071	4.08169
-8.78788	-10.303	6.92999
-8.78788	-9.89899	2.16025
-8.78788	-9.49495	25.2379
-8.78788	-9.09091	16.8938
-8.78788	-8.68687	0
-8.78788	-8.28283	19.1966
-8.78788	-7.87879	5.56452
-8.78788	-7.47475	18.4187
-8.78788	-7.07071	10.4632
-8.78788	-6.66667	8.14316
-8.78788	-6.26263	6.78912
-8.78788	-5.85859	9.69598
-8.78788	-5.45455	29.8089
-8.78788	-5.05051	2.14518
-8.78788	-4.64646	38.6088
-8.78788	-4.24242	22.9639
-8.78788	-3.83838	18.0664
-8.78788	-3.43434	23.6295
-8.78788	-3.0303	48.1102
-8.78788	-2.62626	73.2282
-8.78788	-2.22222	103.966
-8.78788	-1.81818	131.399
-8.78788	-1.41414	132.462
-8.78788	-1.0101	213.698
-8.78788	-0.606061	162.552
-8.78788	-0.20202	153.89
-8.78788	0.20202	137.648
-8.78788	0.606061	167.448
-8.78788	1.0101	179.726
-8.78788	1.41414	149.74
-8.78788	1.81818	191.041
-8.78788	2.22222	72.6357
-8.78788	2.62626	8.25589
-8.78788	3.0303	23.3785
-8.78788	3.43434	46.1036
-8.78788	3.83838	16.812
-8.78788	4.24242	9.33056
-8.78788	4.64646	7.22491
-8.78788	5.05051	16.9121
-8.78788	5.45455	14.0075
-8.78788	5.85859	12.9393
-8.78788	6.26263	16.0778
-8.78788	6.66667	24.5674
-8.78788	7.07071	22.9512
-8.78788	7.47475	8.801
-8.78788	7.87879	0.909043
-8.78788	8.28283	9.48807
-8.78788	8.68687	8.98038
-8.78788	9.09091	0
-8.78788	9.49495	2.78806
-8.78788	9.89899	14.8648
-8.78788	10.303	13.5138
-8.78788	10.7071	0.00180842
-8.78788	11.1111	1.51695
-8.78788	11.5152	0
-8.78788	11.9192	13.2598
-8.78788	12.3232	19.3581
-8.78788	12.7273	0.0274647
-8.78788	13.1313	0.0010562
-8.78788	13.5354	0.00662569
-8.78788	13.9394	24.1246
-8.78788	14.3434	9.06027
-8.78788	14.7475	0
-8.78788	15.1515	0
-8.78788	15.5556	13.6754
-8.78788	15.9596	15.6129
-8.78788	16.3636	6.64999
-8.78788	16.7677	13.1684
-8.78788	17.1717	0.0235242
-8.78788	17.5758	0
-8.78788	17.9798	9.73535
-8.78788	18.3838	34.8897
-8.78788	18.7879	14.7975
-8.78788	19.1919	13.9015
-8.78788	19.596	15.1419
-8.78788	20	15.1419
-8.48485	-20	26.6292
-8.48485	-19.596	43.7563
-8.48485	-19.1919	7.8295
-8.48485	-18.7879	21.7043
-8.48485	-18.3838	22.7918
-8.48485	-17.9798	11.464
-8.48485	-17.5758	6.87084
-8.48485	-17.1717	21.2281
-8.48485	-16.7677	17.7739
-8.48485	-16.3636	13.0239
-8.48485	-15.9596	9.77219
-8.48485	-15.5556	19.8784
-8.48485	-15.1515	0.0161402
-8.48485	-14.7475	0.881269
-8.48485	-14.3434	0
-8.48485	-13.9394	5.28453
-8.48485	-13.5354	8.82702
-8.48485	-13.1313	40.1504
-8.48485	-12.7273	40.5609
-8.48485	-12.3232	44.7934
-8.48485	-11.9192	0
-8.48485	-11.5152	3.26266
-8.48485	-11.1111	22.8739
-8.48485	-10.7071	6.67324
-8.48485	-10.303	8.95365
-8.48485	-9.89899	0.00194817
-8.48485	-9.49495	30.7163
-8.48485	-9.09091	13.6224
-8.48485	-8.68687	6.43046
-8.48485	-8.28283	19.1478
-8.48485	-7.87879	6.22084
-8.48485	-7.47475	9.0918
-8.48485	-7.07071	23.136
-8.48485	-6.66667	10.3728
-8.48485	-6.26263	15.6335
-8.48485	-5.85859	19.8533
-8.48485	-5.45455	14.0797
-8.48485	-5.05051	28.6409
-8.48485	-4.64646	28.5869
-8.48485	-4.24242	6.97328
-8.48485	-3.83838	37.4864
-8.48485	-3.43434	27.4444
-8.48485	-3.0303	32.7995
-8.48485	-2.62626	89.3345
-8.48485	-2.22222	109.431
-8.48485	-1.81818	118.23
-8.48485	-1.41414	136.932
-8.48485	-1.0101	215.417
-8.48485	-0.606061	164.961
-8.48485	-0.20202	140.645
-8.48485	0.20202	150.508
-8.48485	0.606061	171.803
-8.48485	1.0101	212.323
-8.48485	1.41414	164.744
-8.48485	1.81818	195.87
-8.48485	2.22222	59.7279
-8.48485	2.62626	13.4367
-8.48485	3.0303	24.5194
-8.48485	3.43434	53.4354
-8.48485	3.83838	8.3011
-8.48485	4.24242	16.5555
-8.48485	4.64646	4.88294
-8.48485	5.05051	4.06008
-8.48485	5.45455	25.7201
-8.48485	5.85859	18.5361
-8.48485	6.26263	13.0744
-8.48485	6.66667	36.8645
-8.48485	7.07071	17.3701
-8.48485	7.47475	9.71743
-8.48485	7.87879	12.804
-8.48485	8.28283	6.20329
-8.48485	8.68687	5.16076
-8.48485	9.09091	0.0195775
-8.48485	9.49495	0.00758167
-8.48485	9.89899	8.75903
-8.48485	10.303	1.6305
-8.48485	10.7071	3.22267
-8.48485	11.1111	0
-8.48485	11.5152	6.08016
-8.48485	11.9192	13.5673
-8.48485	12.3232	12.9729
-8.48485	12.7273	0.0250363
-8.48485	13.1313	8.28448
-8.48485	13.5354	9.4833
-8.48485	13.9394	21.0353
-8.48485	14.3434	2.64854
-8.48485	14.7475	0
-8.48485	15.1515	6.29264
-8.48485	15.5556	17.602
-8.48485	15.9596	5.39355
-8.48485	16.3636	18.0477
-8.48485	16.7677	1.79415
-8.48485	17.1717	0
-8.48485	17.5758	7.99819
-8.48485	17.9798	36.0143
-8.48485	18.3838	16.4751
-8.48485	18.7879	16.9821
-8.48485	19.1919	16.9136
-8.48485	19.596	3.5372
-8.48485	20	3.5372
-8.18182	-20	9.52886
-8.18182	-19.596	31.6674
-8.18182	-19.1919	38.5874
-8.18182	-18.7879	16.1965
-8.18182	-18.3838	22.8535
-8.18182	-17.9798	18.9035
-8.18182	-17.5758	6.83769
-8.18182	-17.1717	1.75189
-8.18182	-16.7677	15.73
-8.18182	-16.3636	22.5011
-8.18182	-15.9596	5.2011
-8.18182	-15.5556	13.8468
-8.18182	-15.1515	9.63892
-8.18182	-14.7475	8.20705
-8.18182	-14.3434	5.46615
-8.18182	-13.9394	0.00112927
-8.18182	-13.5354	14.1115
-8.18182	-13.1313	22.8167
-8.18182	-12.7273	38.2666
-8.18182	-12.3232	25.5787
-8.18182	-11.9192	26.4064
-8.18182	-11.5152	0
-8.18182	-11.1111	13.4812
-8.18182	-10.7071	19.3263
-8.18182	-10.303	8.95601
-8.18182	-9.89899	0.00236005
-8.18182	-9.49495	5.3442
-8.18182	-9.09091	17.5505
-8.18182	-8.68687	4.54955
-8.18182	-8.28283	8.27963
-8.18182	-7.87879	25.5067
-8.18182	-7.47475	6.36688
-8.18182	-7.07071	17.7318
-8.18182	-6.66667	13.3735
-8.18182	-6.26263	6.37836
-8.18182	-5.85859	29.1135
-8.18182	-5.45455	15.8129
-8.18182	-5.05051	26.7602
-8.18182	-4.64646	25.9397
-8.18182	-4.24242	16.4455
-8.18182	-3.83838	41.0293
-8.18182	-3.43434	28.4765
-8.18182	-3.0303	32.811
-8.18182	-2.62626	81.4944
-8.18182	-2.22222	118.185
-8.18182	-1.81818	130.494
-8.18182	-1.41414	126.425
-8.18182	-1.0101	211.348
-8.18182	-0.606061	188.058
-8.18182	-0.20202	151.056
-8.18182	0.20202	148.697
-8.18182	0.606061	188.646
-8.18182	1.0101	225.607
-8.18182	1.41414	147.095
-8.18182	1.81818	191.368
-8.18182	2.22222	44.279
-8.18182	2.62626	22.4908
-8.18182	3.0303	23.8662
-8.18182	3.43434	47.1049
-8.18182	3.83838	8.31074
-8.18182	4.24242	16.5555
-8.18182	4.64646	8.55937
-8.18182	5.05051	15.8334
-8.18182	5.45455	37.865
-8.18182	5.85859	18.052
-8.18182	6.26263	31.1412
-8.18182	6.66667	30.0961
-8.18182	7.07071	21.1667
-8.18182	7.47475	2.09518
-8.18182	7.87879	21.013
-8.18182	8.28283	9.56581
-8.18182	8.68687	8.74273
-8.18182	9.09091	1.11159
-8.18182	9.49495	12.6018
-8.18182	9.89899	0.461608
-8.18182	10.303	0.0183405
-8.18182	10.7071	8.71904
-8.18182	11.1111	0
-8.18182	11.5152	13.2598
-8.18182	11.9192	19.3581
-8.18182	12.3232	0.0281931
-8.18182	12.7273	4.34337
-8.18182	13.1313	6.02989
-8.18182	13.5354	14.6227
-8.18182	13.9394	14.7285
-8.18182	14.3434	3.39151
-8.18182	14.7475	0
-8.18182	15.1515	15.1285
-8.18182	15.5556	19.4453
-8.18182	15.9596	1.52206
-8.18182	16.3636	17.4354
-8.18182	16.7677	0.0132265
-8.18182	17.1717	0.71299
-8.18182	17.5758	26.5453
-8.18182	17.9798	27.8105
-8.18182	18.3838	18.3062
-8.18182	18.7879	15.7679
-8.18182	19.1919	7.60296
-8.18182	19.596	23.0699
-8.18182	20	23.0699
-7.87879	-20	23.7721
-7.87879	-19.596	14.6458
-7.87879	-19.1919	38.4668
-7.87879	-18.7879	25.4497
-7.87879	-18.3838	26.1546
-7.87879	-17.9798	19.1944
-7.87879	-17.5758	11.1823
-7.87879	-17.1717	3.82604
-7.87879	-16.7677	11.584
-7.87879	-16.3636	26.4172
-7.87879	-15.9596	23.9634
-7.87879	-15.5556	11.6376
-7.87879	-15.1515	8.64701
-7.87879	-14.7475	1.35375
-7.87879	-14.3434	13.6684
-7.87879	-13.9394	0.0259337
-7.87879	-13.5354	5.99785
-7.87879	-13.1313	29.1174
-7.87879	-12.7273	32.7323
-7.87879	-12.3232	10.5216
-7.87879	-11.9192	44.6054
-7.87879	-11.5152	8.24685
-7.87879	-11.1111	8.04808
-7.87879	-10.7071	30.4452
-7.87879	-10.303	3.22063
-7.87879	-9.89899	6.8185
-7.87879	-9.49495	0
-7.87879	-9.09091	13.5293
-7.87879	-8.68687	0.0193541
-7.87879	-8.28283	0
-7.87879	-7.87879	23.4143
-7.87879	-7.47475	6.80687
-7.87879	-7.07071	10.232
-7.87879	-6.66667	21.7143
-7.87879	-6.26263	5.54691
-7.87879	-5.85859	19.1815
-7.87879	-5.45455	18.1403
-7.87879	-5.05051	16.3022
-7.87879	-4.64646	36.2421
-7.87879	-4.24242	19.3387
-7.87879	-3.83838	34.1102
-7.87879	-3.43434	31.4023
-7.87879	-3.0303	32.7096
-7.87879	-2.62626	60.421
-7.87879	-2.22222	143.466
-7.87879	-1.81818	142.325
-7.87879	-1.41414	112.606
-7.87879	-1.0101	208.922
-7.87879	-0.606061	209.708
-7.87879	-0.20202	152.6
-7.87879	0.20202	141.609
-7.87879	0.606061	205.832
-7.87879	1.0101	241.732
-7.87879	1.41414	148.4
-7.87879	1.81818	149.879
-7.87879	2.22222	44.6417
-7.87879	2.62626	32.7497
-7.87879	3.0303	41.9085
-7.87879	3.43434	41.3188
-7.87879	3.83838	2.87865
-7.87879	4.24242	10.7002
-7.87879	4.64646	8.58354
-7.87879	5.05051	31.756
-7.87879	5.45455	11.5251
-7.87879	5.85859	26.2432
-7.87879	6.26263	34.3032
-7.87879	6.66667	35.9521
-7.87879	7.07071	11.7462
-7.87879	7.47475	0.0229337
-7.87879	7.87879	17.224
-7.87879	8.28283	10.8996
-7.87879	8.68687	7.47082
-7.87879	9.09091	9.35922
-7.87879	9.49495	8.76135
