# 核反应率计算结果汇总
# 能谱文件: Spectrum.txt
# 截面文件目录: TENDL-2025_Ra226_Gamma_Data
# 计算时间: 2025-11-20T03:07:22
#================================================================================
# 产物名称	反应率 R (reactions/s)	积分值 (b*#/cm²*MeV)	数据点数
#================================================================================
rp085200.L00	0.000000e+00	0.000000e+00	53
rp085200.L01	0.000000e+00	0.000000e+00	53
rp085200.L03	0.000000e+00	0.000000e+00	53
rp085200.tot	0.000000e+00	0.000000e+00	53
rp085201.tot	0.000000e+00	0.000000e+00	53
rp085202.L00	0.000000e+00	0.000000e+00	53
rp085202.L01	0.000000e+00	0.000000e+00	53
rp085202.tot	0.000000e+00	0.000000e+00	53
rp085203.tot	0.000000e+00	0.000000e+00	53
rp085204.L00	0.000000e+00	0.000000e+00	53
rp085204.L01	0.000000e+00	0.000000e+00	53
rp085204.tot	0.000000e+00	0.000000e+00	53
rp085205.tot	0.000000e+00	0.000000e+00	53
rp085206.tot	0.000000e+00	0.000000e+00	53
rp085207.tot	0.000000e+00	0.000000e+00	53
rp085208.tot	0.000000e+00	0.000000e+00	53
rp085209.tot	0.000000e+00	0.000000e+00	53
rp085210.tot	0.000000e+00	0.000000e+00	53
rp085211.tot	0.000000e+00	0.000000e+00	53
rp085212.L00	0.000000e+00	0.000000e+00	53
rp085212.L04	0.000000e+00	0.000000e+00	53
rp085212.tot	0.000000e+00	0.000000e+00	53
rp085213.tot	0.000000e+00	0.000000e+00	53
rp085214.tot	0.000000e+00	0.000000e+00	53
rp085215.tot	0.000000e+00	0.000000e+00	53
rp085216.tot	0.000000e+00	0.000000e+00	53
rp085217.tot	0.000000e+00	0.000000e+00	53
rp085218.tot	0.000000e+00	0.000000e+00	53
rp085220.tot	0.000000e+00	0.000000e+00	53
rp085222.tot	0.000000e+00	0.000000e+00	53
rp085223.tot	0.000000e+00	0.000000e+00	53
rp086200.tot	0.000000e+00	0.000000e+00	53
rp086201.L00	0.000000e+00	0.000000e+00	53
rp086201.L01	0.000000e+00	0.000000e+00	53
rp086201.tot	0.000000e+00	0.000000e+00	53
rp086202.tot	0.000000e+00	0.000000e+00	53
rp086203.L00	0.000000e+00	0.000000e+00	53
rp086203.L01	0.000000e+00	0.000000e+00	53
rp086203.tot	0.000000e+00	0.000000e+00	53
rp086204.tot	0.000000e+00	0.000000e+00	53
rp086205.L00	0.000000e+00	0.000000e+00	53
rp086205.L06	0.000000e+00	0.000000e+00	53
rp086205.tot	0.000000e+00	0.000000e+00	53
rp086206.tot	0.000000e+00	0.000000e+00	53
rp086207.tot	0.000000e+00	0.000000e+00	53
rp086208.tot	0.000000e+00	0.000000e+00	53
rp086209.tot	0.000000e+00	0.000000e+00	53
rp086210.tot	0.000000e+00	0.000000e+00	53
rp086211.tot	0.000000e+00	0.000000e+00	53
rp086212.tot	0.000000e+00	0.000000e+00	53
rp086213.tot	0.000000e+00	0.000000e+00	53
rp086214.tot	0.000000e+00	0.000000e+00	53
rp086215.tot	0.000000e+00	0.000000e+00	53
rp086216.tot	0.000000e+00	0.000000e+00	53
rp086217.tot	0.000000e+00	0.000000e+00	53
rp087204.L00	0.000000e+00	0.000000e+00	53
rp087204.L01	0.000000e+00	0.000000e+00	53
rp087204.L02	0.000000e+00	0.000000e+00	53
rp087204.tot	0.000000e+00	0.000000e+00	53
rp087205.tot	0.000000e+00	0.000000e+00	53
rp087206.L00	0.000000e+00	0.000000e+00	53
rp087206.L01	0.000000e+00	0.000000e+00	53
rp087206.tot	0.000000e+00	0.000000e+00	53
rp087207.tot	0.000000e+00	0.000000e+00	53
rp087208.tot	0.000000e+00	0.000000e+00	53
rp087209.tot	0.000000e+00	0.000000e+00	53
rp087210.tot	0.000000e+00	0.000000e+00	53
rp087211.tot	0.000000e+00	0.000000e+00	53
rp087212.tot	0.000000e+00	0.000000e+00	53
rp087213.tot	0.000000e+00	0.000000e+00	53
rp087214.tot	0.000000e+00	0.000000e+00	53
rp087215.tot	0.000000e+00	0.000000e+00	53
rp087216.tot	0.000000e+00	0.000000e+00	53
rp087217.tot	0.000000e+00	0.000000e+00	53
rp087218.tot	0.000000e+00	0.000000e+00	53
rp087219.tot	0.000000e+00	0.000000e+00	53
rp087220.tot	0.000000e+00	0.000000e+00	53
rp088205.L00	0.000000e+00	0.000000e+00	53
rp088205.L01	0.000000e+00	0.000000e+00	53
rp088205.tot	0.000000e+00	0.000000e+00	53
rp088206.tot	0.000000e+00	0.000000e+00	53
rp088207.tot	0.000000e+00	0.000000e+00	53
rp088208.tot	0.000000e+00	0.000000e+00	53
rp088209.tot	0.000000e+00	0.000000e+00	53
rp088210.tot	0.000000e+00	0.000000e+00	53
rp088211.tot	0.000000e+00	0.000000e+00	53
rp088212.tot	0.000000e+00	0.000000e+00	53
rp088213.tot	0.000000e+00	0.000000e+00	53
rp088214.tot	0.000000e+00	0.000000e+00	53
rp088215.tot	0.000000e+00	0.000000e+00	53
rp088216.tot	0.000000e+00	0.000000e+00	53
rp088217.tot	0.000000e+00	0.000000e+00	53
rp088218.tot	0.000000e+00	0.000000e+00	53
rp088219.tot	0.000000e+00	0.000000e+00	53
rp088220.tot	0.000000e+00	0.000000e+00	53
rp088221.tot	0.000000e+00	0.000000e+00	53
