Y	Z	Value
-10	-6.9697	0
-9.69697	-6.9697	0
-8.48485	-6.9697	0
-8.18182	-6.9697	0
-7.87879	-6.9697	0
-7.57576	-6.9697	0
-5.15152	-6.9697	0
-4.84848	-6.9697	0
-2.12121	-6.9697	0
-9.39394	-6.76768	0
-9.09091	-6.76768	0
-7.57576	-6.76768	0
-7.27273	-6.76768	0
-6.9697	-6.76768	0
-4.54545	-6.76768	0
-8.48485	-6.56566	0
-8.18182	-6.56566	0
-7.27273	-6.56566	0
-7.87879	-6.36364	0
-7.27273	-6.36364	0
-6.9697	-6.36364	0
-3.63636	-6.36364	0
-3.33333	-6.36364	0
-7.57576	-6.16162	0
-7.27273	-6.16162	0
-6.9697	-6.16162	0
-6.66667	-6.16162	0
-2.72727	-6.16162	0
-0.30303	-6.16162	0
-6.66667	-5.9596	0
-2.42424	-5.9596	0
-4.84848	-5.75758	0
-2.12121	-5.75758	0
-1.81818	-5.55556	0
-9.09091	-5.35354	0
-8.78788	-5.15152	0
-8.48485	-5.15152	0
-7.27273	-5.15152	0
-10	-4.94949	0
-9.69697	-4.94949	0
-8.18182	-4.94949	0
-6.66667	-4.94949	0
-6.06061	-4.74747	0
-5.75758	-4.74747	0
-4.84848	-4.54545	0
-9.69697	-4.34343	0
-4.54545	-4.34343	0
-4.24242	-4.14141	0
-6.66667	-3.93939	0
-5.15152	-3.93939	0
-9.69697	-3.73737	0
-5.75758	-3.73737	0
-8.48485	-3.53535	0
-5.75758	-3.53535	0
-5.45455	-3.53535	0
-5.15152	-3.53535	0
-2.72727	3.93939	0
-7.57576	4.54545	0
-8.18182	4.74747	0
0.606061	4.74747	0
-4.54545	5.15152	0
-0.30303	5.15152	0
-6.66667	5.35354	0
-5.15152	5.35354	0
-4.84848	5.35354	0
-6.06061	5.55556	0
-5.75758	5.55556	0
-5.45455	5.55556	0
-1.81818	5.55556	0
-9.69697	5.75758	0
-9.39394	5.75758	0
-6.66667	5.75758	0
-6.36364	5.75758	0
-6.06061	5.75758	0
-2.42424	5.75758	0
-7.27273	5.9596	0
-6.9697	5.9596	0
-6.66667	5.9596	0
-6.36364	5.9596	0
-3.0303	5.9596	0
-2.72727	5.9596	0
-8.18182	6.16162	0
-7.87879	6.16162	0
-7.57576	6.16162	0
-6.66667	6.16162	0
-3.33333	6.16162	0
-8.78788	6.36364	0
-8.48485	6.36364	0
-8.18182	6.36364	0
-5.45455	6.36364	0
-0.909091	6.36364	0
-9.39394	6.56566	0
-9.09091	6.56566	0
-8.78788	6.56566	0
-6.06061	6.56566	0
-3.93939	6.56566	0
-8.18182	6.76768	0
-7.87879	6.76768	0
-6.36364	6.76768	0
-6.06061	6.76768	0
-4.24242	6.76768	0
-3.93939	6.76768	0
-9.39394	6.9697	0
-9.09091	6.9697	0
-8.78788	6.9697	0
-8.48485	6.9697	0
-6.36364	6.9697	0
-4.54545	6.9697	0
-4.24242	6.9697	0
-9.39394	7.17172	0
-9.09091	7.17172	0
-7.27273	7.17172	0
-6.66667	7.17172	0
-5.45455	7.17172	0
-4.84848	7.17172	0
-10	7.37374	0
-9.69697	7.37374	0
-7.57576	7.37374	0
-7.27273	7.37374	0
-5.75758	7.37374	0
-5.45455	7.37374	0
-5.15152	7.37374	0
-4.84848	7.37374	0
-7.57576	7.57576	0
-6.06061	7.57576	0
-5.75758	7.57576	0
-5.45455	7.57576	0
-5.15152	7.57576	0
-9.09091	7.77778	0
-7.87879	7.77778	0
-7.57576	7.77778	0
-6.36364	7.77778	0
-6.06061	7.77778	0
-5.15152	7.77778	0
-4.54545	7.77778	0
-1.81818	7.77778	0
-9.39394	7.9798	0
-8.18182	7.9798	0
-7.87879	7.9798	0
-6.36364	7.9798	0
-5.45455	7.9798	0
-4.84848	7.9798	0
-4.54545	7.9798	0
-2.12121	7.9798	0
-9.69697	8.18182	0
-8.48485	8.18182	0
-6.66667	8.18182	0
-6.36364	8.18182	0
-6.06061	8.18182	0
-5.75758	8.18182	0
-4.84848	8.18182	0
-4.54545	8.18182	0
-8.78788	8.38384	0
-6.66667	8.38384	0
-5.15152	8.38384	0
-4.84848	8.38384	0
-9.09091	8.58586	0
-8.78788	8.58586	0
-8.48485	8.58586	0
-5.45455	8.58586	0
-5.15152	8.58586	0
-4.84848	8.58586	0
-9.69697	8.78788	0
-9.39394	8.78788	0
-9.09091	8.78788	0
-8.78788	8.78788	0
-6.9697	8.78788	0
-5.45455	8.78788	0
-5.15152	8.78788	0
-4.84848	8.78788	0
-4.54545	8.78788	0
-10	8.9899	0
-9.69697	8.9899	0
-9.39394	8.9899	0
-5.45455	8.9899	0
-5.15152	8.9899	0
-4.84848	8.9899	0
-3.63636	8.9899	0
-10	9.19192	0
-9.69697	9.19192	0
-5.75758	9.19192	0
-5.45455	9.19192	0
-3.93939	9.19192	0
-10	9.39394	0
-7.57576	9.39394	0
-7.27273	9.39394	0
-6.9697	9.39394	0
-4.24242	9.39394	0
-10	9.59596	0
-8.18182	9.59596	0
-7.57576	9.79798	0
-6.36364	9.79798	0
-6.06061	9.79798	0
-7.57576	10	0
-6.36364	10	0
-6.06061	10	0
