Parent,Nuclide,Atoms_EOB,Atoms_after_cooling,Activity_EOB_Bq,Activity_after_cooling_Bq
Mn54,"Nuclide: Cr-54, decay dataset: icrp107_ame2020_nubase2020",-1640.0624366831187,-3276.486710812799,-0.0,-0.0
Mn55,"Nuclide: Mn-55, decay dataset: icrp107_ame2020_nubase2020",0.0,0.0,0.0,0.0
Mn56,"Nuclide: Mn-56, decay dataset: icrp107_ame2020_nubase2020",1583174.3939675528,2500.663763742601,118.19992885783661,0.1866997597346204
Mn56,"Nuclide: Fe-56, decay dataset: icrp107_ame2020_nubase2020",-1583174.3939675528,-1585675.0577312955,-0.0,-0.0
Mn57,"Nuclide: Mn-57, decay dataset: icrp107_ame2020_nubase2020",6335131.710577675,1.7653002524433654e-298,51418.954141250804,1.4328019822281948e-300
Mn57,"Nuclide: Fe-57, decay dataset: icrp107_ame2020_nubase2020",-6335131.710577675,-6335131.710577675,-0.0,-0.0
Fe52,"Nuclide: Fe-52, decay dataset: icrp107_ame2020_nubase2020",8231380.430080807,1102540.9808152134,191.52595291127295,25.653681514060487
Fe52,"Nuclide: Mn-52m, decay dataset: icrp107_ame2020_nubase2020",365339.9100718044,48934.82266554691,200.02711580750017,26.792286225769946
Fe52,"Nuclide: Cr-52, decay dataset: icrp107_ame2020_nubase2020",-8596720.340152612,-9748196.143633373,-0.0,-0.0
Fe53,"Nuclide: Fe-53, decay dataset: icrp107_ame2020_nubase2020",20283750.15752534,2.3391206826992327e-44,27535.49595156881,3.17539151234318e-47
Fe53,"Nuclide: Mn-53, decay dataset: icrp107_ame2020_nubase2020",-20283750.157614037,-20283750.14721026,-1.2041408696461706e-07,-1.2041408690285523e-07
Fe53,"Nuclide: Cr-53, decay dataset: icrp107_ame2020_nubase2020",8.87018008606549e-05,20283750.147298962,0.0,0.0
Fe54,"Nuclide: Fe-54, decay dataset: icrp107_ame2020_nubase2020",0.0,0.0,0.0,0.0
Fe55,"Nuclide: Fe-55, decay dataset: icrp107_ame2020_nubase2020",73.2085094728803,73.15776593749068,5.87513074470011e-07,5.871058473498185e-07
Fe55,"Nuclide: Mn-55, decay dataset: icrp107_ame2020_nubase2020",-73.2085094728803,-146.36627541037097,-0.0,-0.0
Fe58,"Nuclide: Fe-58, decay dataset: icrp107_ame2020_nubase2020",0.0,0.0,0.0,0.0
Fe59,"Nuclide: Fe-59, decay dataset: icrp107_ame2020_nubase2020",24656.30778179553,24275.185847134147,0.004445581229988859,0.00437686418873264
Fe59,"Nuclide: Co-59, decay dataset: icrp107_ame2020_nubase2020",-24656.30778179553,-48931.493628929675,-0.0,-0.0
Fe60,"Nuclide: Fe-60, decay dataset: icrp107_ame2020_nubase2020",0.006284416365999995,0.00628441635804906,9.202471061375896e-17,9.202471049733088e-17
Fe60,"Nuclide: Co-60m, decay dataset: icrp107_ame2020_nubase2020",0.9996461570093116,8.337819197448553e-14,0.0011033118615467483,9.202471049855181e-17
Fe60,"Nuclide: Co-60, decay dataset: icrp107_ame2020_nubase2020",-0.9996199077591135,-0.999260067165718,-4.165315780791714e-09,-4.163816361171711e-09
Fe60,"Nuclide: Ni-60, decay dataset: icrp107_ame2020_nubase2020",-0.00631066561619816,0.9866649851913873,-0.0,0.0
Fe61,"Nuclide: Fe-61, decay dataset: icrp107_ame2020_nubase2020",103921031.47299582,3.3719029119562248e-65,200759.67103229763,6.514005007091211e-68
Fe61,"Nuclide: Co-61, decay dataset: icrp107_ame2020_nubase2020",-110601828.24077763,-4625.345588427598,-12906.287106038779,-0.5397382582043722
Fe61,"Nuclide: Ni-61, decay dataset: icrp107_ame2020_nubase2020",6680796.767781815,6685422.1133702425,0.0,0.0
Fe62,"Nuclide: Fe-62, decay dataset: icrp107_ame2020_nubase2020",283676587.4342417,0.0,2891612.1583957565,0.0
Fe62,"Nuclide: Co-62, decay dataset: icrp107_ame2020_nubase2020",-1160495129.412807,-1.190823741600632e-280,-8937710.300067067,-9.171290211492477e-283
Fe62,"Nuclide: Ni-62, decay dataset: icrp107_ame2020_nubase2020",876818541.9785653,876818541.9785653,0.0,0.0
Co55,"Nuclide: Co-55, decay dataset: icrp107_ame2020_nubase2020",20335500.158063855,7872637.200786467,223.35511503831972,86.46916839856245
Co55,"Nuclide: Fe-55, decay dataset: icrp107_ame2020_nubase2020",-20350369.344984695,-28214657.37108767,-0.16331582416524,-0.22642832392792187
Co55,"Nuclide: Mn-55, decay dataset: icrp107_ame2020_nubase2020",14869.186920840395,20356889.357222043,0.0,0.0
Co56,"Nuclide: Co-56, decay dataset: icrp107_ame2020_nubase2020",174291.41380638228,172734.12931758942,0.018105131209161875,0.017943362827209864
Co56,"Nuclide: Fe-56, decay dataset: icrp107_ame2020_nubase2020",-174291.41380638228,-347025.54312397167,-0.0,-0.0
Co57,"Nuclide: Co-57, decay dataset: icrp107_ame2020_nubase2020",14260.75627146032,14224.426666808995,0.0004210180398736639,0.00041994548673212424
Co57,"Nuclide: Fe-57, decay dataset: icrp107_ame2020_nubase2020",-14260.75627146032,-28485.182938269314,-0.0,-0.0
Co58,"Nuclide: Co-58, decay dataset: icrp107_ame2020_nubase2020",30005.97113166833,29713.88589001602,0.003397177645846893,0.003364108712691259
Co58,"Nuclide: Fe-58, decay dataset: icrp107_ame2020_nubase2020",-30005.97113166833,-59719.85702168435,-0.0,-0.0
Co59,"Nuclide: Co-59, decay dataset: icrp107_ame2020_nubase2020",0.0,0.0,0.0,0.0
Co60,"Nuclide: Co-60, decay dataset: icrp107_ame2020_nubase2020",265.8991612300482,265.80344941109087,1.1079751051113484e-06,1.1075762835724647e-06
Co60,"Nuclide: Ni-60, decay dataset: icrp107_ame2020_nubase2020",-265.8991612300482,-531.702610641139,-0.0,-0.0
Co61,"Nuclide: Co-61, decay dataset: icrp107_ame2020_nubase2020",12965983.066131769,542.2347309124178,1513.0192938513856,0.06327415402922947
Co61,"Nuclide: Ni-61, decay dataset: icrp107_ame2020_nubase2020",-12965983.066131769,-12966525.300862681,-0.0,-0.0
Co62,"Nuclide: Co-62, decay dataset: icrp107_ame2020_nubase2020",59606411.6611003,6.11641775640835e-282,459066.8465131902,4.710641914423594e-284
Co62,"Nuclide: Ni-62, decay dataset: icrp107_ame2020_nubase2020",-59606411.6611003,-59606411.6611003,-0.0,-0.0
Ni56,"Nuclide: Ni-56, decay dataset: icrp107_ame2020_nubase2020",9184486.72318228,8194125.816424676,12.12886960269785,10.82101662629215
Ni56,"Nuclide: Co-56, decay dataset: icrp107_ame2020_nubase2020",-9968630.589251192,-18773277.052643053,-1.035526425843064,-1.9501399227940848
Ni56,"Nuclide: Fe-56, decay dataset: icrp107_ame2020_nubase2020",784143.8660689145,11363295.102287292,0.0,0.0
Ni57,"Nuclide: Ni-57, decay dataset: icrp107_ame2020_nubase2020",43980784.96961256,27562677.668620154,237.8679549040275,149.07141319199926
Ni57,"Nuclide: Co-57, decay dataset: icrp107_ame2020_nubase2020",-44222178.32770728,-71823479.75683545,-1.3055643392304046,-2.1204331725832186
Ni57,"Nuclide: Fe-57, decay dataset: icrp107_ame2020_nubase2020",241393.35809471653,44502195.446310006,0.0,0.0
Ni58,"Nuclide: Ni-58, decay dataset: icrp107_ame2020_nubase2020",0.0,0.0,0.0,0.0
Ni59,"Nuclide: Ni-59, decay dataset: icrp107_ame2020_nubase2020",0.6743426101878292,0.6743425975170378,1.4665267779795863e-13,1.4665267504237795e-13
Ni59,"Nuclide: Co-59, decay dataset: icrp107_ame2020_nubase2020",-0.6743426101878292,-1.348685207704867,-0.0,-0.0
Ni60,"Nuclide: Ni-60, decay dataset: icrp107_ame2020_nubase2020",0.0,0.0,0.0,0.0
Ni61,"Nuclide: Ni-61, decay dataset: icrp107_ame2020_nubase2020",0.0,0.0,0.0,0.0
Ni62,"Nuclide: Ni-62, decay dataset: icrp107_ame2020_nubase2020",0.0,0.0,0.0,0.0
Ni63,"Nuclide: Ni-63, decay dataset: icrp107_ame2020_nubase2020",38.01393546223198,38.01321477114714,8.341411071421898e-09,8.341252929926653e-09
Ni63,"Nuclide: Cu-63, decay dataset: icrp107_ame2020_nubase2020",-38.01393546223198,-76.02715023337912,-0.0,-0.0
Ni64,"Nuclide: Ni-64, decay dataset: icrp107_ame2020_nubase2020",0.0,0.0,0.0,0.0
Ni65,"Nuclide: Ni-65, decay dataset: icrp107_ame2020_nubase2020",107838590.21059175,145419.08706338448,8248.617479547409,11.123164917757297
Ni65,"Nuclide: Cu-65, decay dataset: icrp107_ame2020_nubase2020",-107838590.21059176,-107984009.29765515,-0.0,-0.0
Ni66,"Nuclide: Ni-66, decay dataset: icrp107_ame2020_nubase2020",21906790.31704002,16153174.107727565,77.25188208879833,56.9623885320781
Ni66,"Nuclide: Cu-66, decay dataset: icrp107_ame2020_nubase2020",34292.31194753612,25285.015479493326,77.3750629600156,57.051553352947174
Ni66,"Nuclide: Zn-66, decay dataset: icrp107_ame2020_nubase2020",-21941082.62898755,-38119541.75219461,-0.0,-0.0
Cu57,"Nuclide: Cu-57, decay dataset: icrp107_ame2020_nubase2020",2518448911.5449185,0.0,8892795529.402054,0.0
Cu57,"Nuclide: Ni-57, decay dataset: icrp107_ame2020_nubase2020",-2518452768.968325,-1578309753.7408357,-13620.930369723641,-8536.212202369863
Cu57,"Nuclide: Co-57, decay dataset: icrp107_ame2020_nubase2020",3857.423441985732,1586976327.3930616,0.00011388209892891259,46.85204977677623
Cu57,"Nuclide: Fe-57, decay dataset: icrp107_ame2020_nubase2020",-3.517051579809044e-05,-8666573.65226129,-0.0,-0.0
Cu59,"Nuclide: Cu-59, decay dataset: icrp107_ame2020_nubase2020",2402980993.667394,1.78654424058237e-310,20437049.088339757,1.51943325559e-312
Cu59,"Nuclide: Ni-59, decay dataset: icrp107_ame2020_nubase2020",-2402980993.72884,-2402980948.577206,-0.000522588358059973,-0.0005225883482406202
Cu59,"Nuclide: Co-59, decay dataset: icrp107_ame2020_nubase2020",0.061445752491033206,2402980948.638652,0.0,0.0
Cu60,"Nuclide: Cu-60, decay dataset: icrp107_ame2020_nubase2020",2603578478.9118896,1.3339530879939347e-09,1269102.0267400332,6.50229129354591e-13
Cu60,"Nuclide: Ni-60, decay dataset: icrp107_ame2020_nubase2020",-2603578478.9118896,-2603578478.9118896,-0.0,-0.0
Cu61,"Nuclide: Cu-61, decay dataset: icrp107_ame2020_nubase2020",405649628.7030721,2757517.9664627016,23433.58472769969,159.29641329108037
Cu61,"Nuclide: Ni-61, decay dataset: icrp107_ame2020_nubase2020",-405649628.7030721,-408407146.6695348,-0.0,-0.0
Cu62,"Nuclide: Cu-62, decay dataset: icrp107_ame2020_nubase2020",842448434.1485373,1.2936447688647457e-36,1006135.2164051128,1.5449984909623362e-39
Cu62,"Nuclide: Ni-62, decay dataset: icrp107_ame2020_nubase2020",-842448434.1485373,-842448434.1485373,-0.0,-0.0
Cu63,"Nuclide: Cu-63, decay dataset: icrp107_ame2020_nubase2020",0.0,0.0,0.0,0.0
Cu64,"Nuclide: Cu-64, decay dataset: icrp107_ame2020_nubase2020",12037398.03250569,3248306.7824527444,182.49537417999016,49.2466029713663
Cu64,"Nuclide: Ni-64, decay dataset: icrp107_ame2020_nubase2020",-12037398.03250569,-15285704.814958435,-0.0,-0.0
Cu65,"Nuclide: Cu-65, decay dataset: icrp107_ame2020_nubase2020",0.0,0.0,0.0,0.0
Cu66,"Nuclide: Cu-66, decay dataset: icrp107_ame2020_nubase2020",113907530.58211818,2.46527945447166e-77,257013.94423027657,5.5625048930969765e-80
Cu66,"Nuclide: Zn-66, decay dataset: icrp107_ame2020_nubase2020",-113907530.58211818,-113907530.58211818,-0.0,-0.0
Cu67,"Nuclide: Cu-67, decay dataset: icrp107_ame2020_nubase2020",10032848.346835302,7666128.9008985385,31.24265703719157,23.872606041057622
Cu67,"Nuclide: Zn-67, decay dataset: icrp107_ame2020_nubase2020",-10032848.346835302,-17698977.24773384,-0.0,-0.0
