parent_nuclide,parent_original,production_rate,nuclide,original_nuclide,atom_number_EOL,activity_EOL_Bq,is_stable,decay_constant,half_life,half_life_seconds
V50,V50,4.06e-09,Cr50,Cr-50,1861005585600.0,0.0,True,0.0,稳定,inf
V53,V53,2.84e-08,V53,V53,12351763983.348658,88629300.0,False,0.0071754366517592675,1.61 分钟,96.60000000000001
V53,V53,2.84e-08,Cr53,Cr-53,76563363436016.66,0.0,True,0.0,稳定,inf
Cr48,Cr48,3.25e-08,Cr48,Cr48,11352056389551.293,101379172.85063635,False,8.930467694289132e-06,21.56 小时,77616.0
Cr48,Cr48,3.25e-08,V48,V-48,63301508734345.98,31792574.20594952,False,5.022403863922375e-07,15.97 天,1380110.4
Cr48,Cr48,3.25e-08,Ti48,Ti-48,12977094876102.729,0.0,True,0.0,稳定,inf
Cr49,Cr49,2.84e-08,Cr49,Cr49,324521500928.974,88629300.0,False,0.00027310763615443075,42.30 分钟,2538.0
Cr49,Cr49,2.84e-08,V49,V-49,75459296207977.06,1834469.6413298636,False,2.4310717612231527e-08,330.00 天,28512000.0
Cr49,Cr49,2.84e-08,Ti49,Ti-49,791897491093.198,0.0,True,0.0,稳定,inf
Cr50,Cr50,2.44e-08,Cr50,Cr50,65790403200000.0,0.0,True,0.0,稳定,inf
Cr51,Cr51,4.06e-09,Cr51,Cr51,9684972897664.262,2804730.6775592966,False,2.8959613074763664e-07,27.70 天,2393496.0
Cr51,Cr51,4.06e-09,V51,V-51,1262118782335.7363,0.0,True,0.0,稳定,inf
Cr52,Cr52,4.06e-09,Cr52,Cr52,10947091679999.998,0.0,True,0.0,稳定,inf
Cr54,Cr54,8.12e-09,Cr54,Cr54,21894183359999.996,0.0,True,0.0,稳定,inf
Cr55,Cr55,1.62e-08,Cr55,Cr55,15303663767.96164,50556150.0,False,0.003303532459059886,3.50 分钟,209.82
Cr55,Cr55,1.62e-08,Mn55,Mn-55,43665209936232.04,0.0,True,0.0,稳定,inf
Cr56,Cr56,8.93e-08,Cr56,Cr56,143292240198.92023,278682975.0,False,0.001944857408978522,5.94 分钟,356.40000000000003
Cr56,Cr56,8.93e-08,Mn56,Mn-56,3732690487363.589,278682975.0,False,7.466008123187162e-05,2.58 小时,9284.039999999999
Cr56,Cr56,8.93e-08,Fe56,Fe-56,236906107672437.5,0.0,True,0.0,稳定,inf
Mn51,Mn51,1.14e-07,Mn51,Mn51,1422759831762.3284,355765500.0,False,0.0002500530954400957,46.20 分钟,2772.0
Mn51,Mn51,1.14e-07,Cr51,Cr-51,270833491629159.38,78432331.252677,False,2.8959613074763664e-07,27.70 天,2393496.0
Mn51,Mn51,1.14e-07,V51,V-51,35125140539078.227,0.0,True,0.0,稳定,inf
Mn52,Mn52,2.84e-08,Mn52,Mn52,43888087330078.74,62975102.16695138,False,1.4349019517146133e-06,5.59 天,483062.4
Mn52,Mn52,2.84e-08,Cr52,Cr-52,32687627869921.258,0.0,True,0.0,稳定,inf
Mn53,Mn53,3.65e-08,Mn53,Mn53,98415971822526.22,0.5842444960946492,False,5.93648048457235e-15,3702455.18 年,116760626496000.0
Mn53,Mn53,3.65e-08,Cr53,Cr-53,177473.796875,0.0,True,0.0,稳定,inf
Mn54,Mn54,2.84e-08,Mn54,Mn54,75731688905571.31,1946559.8554486567,False,2.5703373100206342e-08,312.12 天,26967168.0
Mn54,Mn54,2.84e-08,Cr54,Cr-54,844026294428.6875,0.0,True,0.0,稳定,inf
Mn54,Mn54,2.84e-08,Fe54,Fe-54,2447676.253843218,0.0,True,0.0,稳定,inf
Mn55,Mn55,4.06e-09,Mn55,Mn55,10947091679999.998,0.0,True,0.0,稳定,inf
Mn56,Mn56,1.22e-08,Mn56,Mn56,509953235675.65265,38073150.0,False,7.466008123187162e-05,2.58 小时,9284.039999999999
Mn56,Mn56,1.22e-08,Fe56,Fe-56,32385248364324.348,0.0,True,0.0,稳定,inf
Mn57,Mn57,2.03e-08,Mn57,Mn57,7805260941.304675,63351225.0,False,0.00811647752412114,1.42 分钟,85.4
Mn57,Mn57,2.03e-08,Fe57,Fe-57,54727653139058.695,0.0,True,0.0,稳定,inf
Fe52,Fe52,1.71e-07,Fe52,Fe52,22935073219382.316,533648249.0080819,False,2.3267780482039118e-05,8.28 小时,29790.0
Fe52,Fe52,1.71e-07,Mn52m,Mn-52m,974682869867.1572,533648248.96405697,False,0.0005475096212953754,21.10 分钟,1266.0
Fe52,Fe52,1.71e-07,Cr52,Cr-52,429511991102312.4,0.0,True,0.0,稳定,inf
Fe52,Fe52,1.71e-07,Mn52,Mn-52,4495387720841.351,6450440.614349161,False,1.4349019517146133e-06,5.59 天,483062.4
Fe53,Fe53,6.5e-08,Fe53,Fe53,149426521025.92313,202848750.0,False,0.0013575150422247264,8.51 分钟,510.59999999999997
Fe53,Fe53,6.5e-08,Mn53,Mn-53,175111893163690.62,1.0395483363827678,False,5.93648048457235e-15,3702455.18 年,116760626496000.0
Fe53,Fe53,6.5e-08,Cr53,Cr-53,0.0,0.0,True,0.0,稳定,inf
Fe54,Fe54,2.03e-08,Fe54,Fe54,54735458400000.0,0.0,True,0.0,稳定,inf
Fe55,Fe55,4.06e-09,Fe55,Fe55,10909226913212.545,87548.74931918655,False,8.025201970375482e-09,2.74 年,86371306.68096001
Fe55,Fe55,4.06e-09,Mn55,Mn-55,37864766787.453125,0.0,True,0.0,稳定,inf
Fe58,Fe58,2.44e-08,Fe58,Fe58,65790403200000.0,0.0,True,0.0,稳定,inf
Fe59,Fe59,6.09e-08,Fe59,Fe59,152055337053351.16,27415879.06454911,False,1.80301984763151e-07,44.49 天,3844368.0
Fe59,Fe59,6.09e-08,Co59,Co-59,12151038146648.844,0.0,True,0.0,稳定,inf
Fe60,Fe60,1.91e-07,Fe60,Fe60,514998649782830.9,7.541289270574986,False,1.46433185286118e-14,1500995.34 年,47335389120000.0
Fe60,Fe60,1.91e-07,Co60m,Co-60m,6825.554640121329,7.533381030155013,False,0.0011037023989044065,10.47 分钟,628.02
Fe60,Fe60,1.91e-07,Co60,Co-60,3239342.2220610552,0.013498013767236116,False,4.1668995869932835e-09,5.27 年,166346024.445504
Fe60,Fe60,1.91e-07,Ni60,Ni-60,0.0,0.0,True,0.0,稳定,inf
Fe61,Fe61,3.33e-07,Fe61,Fe61,537935475693.32324,1039209749.9999999,False,0.0019318483293198029,5.98 分钟,358.8
Fe61,Fe61,3.33e-07,Co61,Co-61,8905620751444.648,1039209749.9999999,False,0.00011669144453871133,1.65 小时,5940.0
Fe61,Fe61,3.33e-07,Ni61,Ni-61,888433667772862.0,0.0,True,0.0,稳定,inf
Fe62,Fe62,9.09e-07,Fe62,Fe62,278295583405.77783,2836761750.0,False,0.01019334089058743,1.13 分钟,68.0
Fe62,Fe62,9.09e-07,Co62,Co-62,368332389801.7647,2836761749.9999995,False,0.007701635339554948,1.50 分钟,90.0
Fe62,Fe62,9.09e-07,Ni62,Ni-62,2450315524026792.0,0.0,True,0.0,稳定,inf
Co55,Co55,8.57e-07,Co55,Co55,243481468840078.22,2674280497.6404634,False,1.0983507329656228e-05,17.53 小时,63108.00000000001
Co55,Co55,8.57e-07,Fe55,Fe-55,2060784721985401.0,16538213.61139693,False,8.025201970375482e-09,2.74 年,86371306.68096001
Co55,Co55,8.57e-07,Mn55,Mn-55,6486905174537.853,0.0,True,0.0,稳定,inf
Co56,Co56,7.47e-07,Co56,Co56,1926415173751079.0,200113125.0379844,False,1.0387850332819375e-07,77.23 天,6672672.0
Co56,Co56,7.47e-07,Fe56,Fe-56,87741842248921.0,0.0,True,0.0,稳定,inf
Co57,Co57,2.15e-07,Co57,Co57,572379434351105.9,16898267.029271808,False,2.952284099520278e-08,271.74 天,23478336.0
Co57,Co57,2.15e-07,Fe57,Fe-57,7331085648894.125,0.0,True,0.0,稳定,inf
Co58,Co58,1.18e-07,Co58,Co58,303100522732983.8,34316047.15457013,False,1.1321672046339831e-07,70.86 天,6122304.0
Co58,Co58,1.18e-07,Fe58,Fe-58,15066181267016.188,0.0,True,0.0,稳定,inf
Co59,Co59,8.12e-09,Co59,Co59,21894183359999.996,0.0,True,0.0,稳定,inf
Co60,Co60,2.84e-08,Co60,Co60,76438036480726.9,318509.6226421185,False,4.1668995869932835e-09,5.27 年,166346024.445504
Co60,Co60,2.84e-08,Ni60,Ni-60,137678719273.09375,0.0,True,0.0,稳定,inf
Co61,Co61,7.31e-08,Co61,Co61,1954957588380.192,228126825.0,False,0.00011669144453871133,1.65 小时,5940.0
Co61,Co61,7.31e-08,Ni61,Ni-61,195146619211619.8,0.0,True,0.0,稳定,inf
Co62,Co62,1.91e-07,Co62,Co62,77394374534.80426,596063250.0,False,0.007701635339554948,1.50 分钟,90.0
Co62,Co62,1.91e-07,Ni62,Ni-62,514921253625465.2,0.0,True,0.0,稳定,inf
Ni56,Ni56,3.11e-06,Ni56,Ni56,5001255068306746.0,6604568377.263293,False,1.3205821912817126e-06,6.08 天,524880.0
Ni56,Ni56,3.11e-06,Co56,Co-56,3276783154913398.5,340387329.8634407,False,1.0387850332819375e-07,77.23 天,6672672.0
Ni56,Ni56,3.11e-06,Fe56,Fe-56,107541856779857.69,0.0,True,0.0,稳定,inf
Ni57,Ni57,3.69e-06,Ni57,Ni57,2109282608283415.5,11407953284.455189,False,5.408451783395328e-06,1.48 天,128160.0
Ni57,Ni57,3.69e-06,Co57,Co-57,7756686855629181.0,228999432.68831974,False,2.952284099520278e-08,271.74 天,23478336.0
Ni57,Ni57,3.69e-06,Fe57,Fe-57,83480856087383.31,0.0,True,0.0,稳定,inf
Ni58,Ni58,2.38e-06,Ni58,Ni58,6417260640000000.0,0.0,True,0.0,稳定,inf
Ni59,Ni59,1.38e-06,Ni59,Ni59,3720932291206700.5,809.2098529238173,False,2.1747502765265047e-13,101067.02 年,3187249534080.0
Ni59,Ni59,1.38e-06,Co59,Co-59,348793299.5,0.0,True,0.0,稳定,inf
Ni60,Ni60,4.91e-07,Ni60,Ni60,1323897048000000.2,0.0,True,0.0,稳定,inf
Ni61,Ni61,2.31e-07,Ni61,Ni61,622851768000000.0,0.0,True,0.0,稳定,inf
Ni62,Ni62,7.71e-08,Ni62,Ni62,207886888800000.0,0.0,True,0.0,稳定,inf
Ni63,Ni63,7.71e-08,Ni63,Ni63,207867183634189.94,45612.368355657614,False,2.1943034758159538e-10,100.17 年,3158848300.608
Ni63,Ni63,7.71e-08,Cu63,Cu-63,19705165810.0625,0.0,True,0.0,稳定,inf
Ni64,Ni64,3.37e-07,Ni64,Ni64,908662536000000.0,0.0,True,0.0,稳定,inf
Ni65,Ni65,8.16e-07,Ni65,Ni65,33292175505418.926,2546532000.0,False,7.649040536823748e-05,2.52 小时,9061.884
Ni65,Ni65,8.16e-07,Cu65,Cu-65,2166911472494581.0,0.0,True,0.0,稳定,inf
Ni66,Ni66,2.8e-06,Ni66,Ni66,2360189145024984.0,8322946944.761169,False,3.526389807488529e-06,2.27 天,196560.0
Ni66,Ni66,2.8e-06,Cu66,Cu-66,3688408088498.136,8322297094.065691,False,0.0022563384783852386,5.12 分钟,307.2
Ni66,Ni66,2.8e-06,Zn66,Zn-66,5185840846886518.0,0.0,True,0.0,稳定,inf
Cu57,Cu57,8.07e-06,Cu57,Cu57,7132263052.352494,25184452500.000004,False,3.531060522465335,1.96e-01 秒,0.1963
Cu57,Cu57,8.07e-06,Ni57,Ni-57,4612983849024873.0,24949100725.03242,False,5.408451783395328e-06,1.48 天,128160.0
Cu57,Cu57,8.07e-06,Co57,Co-57,1.696380416698773e+16,500819693.0957371,False,2.952284099520278e-08,271.74 天,23478336.0
Cu57,Cu57,8.07e-06,Fe57,Fe-57,0.0,0.0,True,0.0,稳定,inf
Cu59,Cu59,7.7e-06,Cu59,Cu59,2825412433933.474,24029775000.000004,False,0.008504873381103624,1.36 分钟,81.5
Cu59,Cu59,7.7e-06,Ni59,Ni-59,2.075889824193138e+16,4514.541969202584,False,2.1747502765265047e-13,101067.02 年,3187249534080.0
Cu59,Cu59,7.7e-06,Co59,Co-59,1947725903.3203127,0.0,True,0.0,稳定,inf
Cu60,Cu60,8.6e-06,Cu60,Cu60,55059411580048.19,26838450000.000004,False,0.00048744527465537644,23.70 分钟,1422.0
Cu60,Cu60,8.6e-06,Ni60,Ni-60,2.3133361388419956e+16,0.0,True,0.0,稳定,inf
Cu61,Cu61,3.82e-06,Cu61,Cu61,206364360259602.1,11921265000.0,False,5.776804185084719e-05,3.33 小时,11998.800000000001
Cu61,Cu61,3.82e-06,Ni61,Ni-61,1.0093608599740398e+16,0.0,True,0.0,稳定,inf
Cu62,Cu62,2.7e-06,Cu62,Cu62,7055206349608.853,8426025000.0,False,0.0011942988741168636,9.67 分钟,580.38
Cu62,Cu62,2.7e-06,Ni62,Ni-62,7273030393650391.0,0.0,True,0.0,稳定,inf
Cu63,Cu63,7.79e-07,Cu63,Cu63,2100439512000000.0,0.0,True,0.0,稳定,inf
Cu64,Cu64,3.73e-07,Cu64,Cu64,76779924797764.56,1164037366.5173914,False,1.5160699487312889e-05,12.70 小时,45720.0
Cu64,Cu64,3.73e-07,Ni64,Ni-64,566659755713363.6,0.0,True,0.0,稳定,inf
Cu64,Cu64,3.73e-07,Zn64,Zn-64,362290663488871.9,0.0,True,0.0,稳定,inf
Cu65,Cu65,1.75e-07,Cu65,Cu65,471857400000000.0,0.0,True,0.0,稳定,inf
Cu66,Cu66,3.65e-07,Cu66,Cu66,504832834661.92737,1139073750.0,False,0.0022563384783852386,5.12 分钟,307.2
Cu66,Cu66,3.65e-07,Zn66,Zn-66,983654887165338.1,0.0,True,0.0,稳定,inf
Cu67,Cu67,1.45e-06,Cu67,Cu67,1354538455425509.2,4218082337.494451,False,3.1140366082625535e-06,2.58 天,222588.0
Cu67,Cu67,1.45e-06,Zn67,Zn-67,2555137144574491.0,0.0,True,0.0,稳定,inf
Cu69,Cu69,9.53e-06,Cu69,Cu69,7337067747129.323,29740747500.0,False,0.004053492283976288,2.85 分钟,171.0
Cu69,Cu69,9.53e-06,Zn69,Zn-69,145196709101085.56,29740747500.0,False,0.00020483072711582307,56.40 分钟,3384.0
Cu69,Cu69,9.53e-06,Ga69,Ga-69,2.5543472063151788e+16,0.0,True,0.0,稳定,inf
Zn60,Zn60,4.05e-06,Zn60,Zn60,2603854716024.3564,12639037500.0,False,0.004853971852660682,2.38 分钟,142.79999999999998
Zn60,Zn60,4.05e-06,Cu60,Cu-60,25929141499906.41,12639037500.0,False,0.00048744527465537644,23.70 分钟,1422.0
Zn60,Zn60,4.05e-06,Ni60,Ni-60,1.089159540378407e+16,0.0,True,0.0,稳定,inf
Zn61,Zn61,9.66e-07,Zn61,Zn61,387514848914.21313,3014644500.0,False,0.007779429635914089,1.48 分钟,89.1
Zn61,Zn61,9.66e-07,Cu61,Cu-61,52185332987114.03,3014644499.9999995,False,5.776804185084719e-05,3.33 小时,11998.800000000001
Zn61,Zn61,9.66e-07,Ni61,Ni-61,2552080000163971.5,0.0,True,0.0,稳定,inf
Zn62,Zn62,4.14e-07,Zn62,Zn62,61640023437962.34,1291990482.3666615,False,2.0960252938044166e-05,9.19 小时,33069.6
Zn62,Zn62,4.14e-07,Cu62,Cu-62,1081798291911.6782,1291990482.0516634,False,0.0011942988741168636,9.67 分钟,580.38
Zn62,Zn62,4.14e-07,Ni62,Ni-62,1053557970270126.0,0.0,True,0.0,稳定,inf
Zn63,Zn63,4.06e-08,Zn63,Zn63,421922794021.5328,126702450.0,False,0.0003002977127458389,38.47 分钟,2308.2
Zn63,Zn63,4.06e-08,Cu63,Cu-63,109048994005978.47,0.0,True,0.0,稳定,inf
Zn64,Zn64,1.62e-08,Zn64,Zn64,43680513600000.0,0.0,True,0.0,稳定,inf
Zn65,Zn65,4.06e-09,Zn65,Zn65,10793100477145.5,354781.79912278726,False,3.2871166156012474e-08,244.06 天,21086784.0
Zn65,Zn65,4.06e-09,Cu65,Cu-65,153991202854.49805,0.0,True,0.0,稳定,inf
Zn66,Zn66,2.03e-08,Zn66,Zn66,54735458400000.0,0.0,True,0.0,稳定,inf
Zn67,Zn67,6.5e-08,Zn67,Zn67,175261320000000.0,0.0,True,0.0,稳定,inf
Zn68,Zn68,4.83e-07,Zn68,Zn68,1302326424000000.0,0.0,True,0.0,稳定,inf
Zn69,Zn69,1.34e-06,Zn69,Zn69,20415906631212.453,4181805000.0000005,False,0.00020483072711582307,56.40 分钟,3384.0
Zn69,Zn69,1.34e-06,Ga69,Ga-69,3592663613368788.0,0.0,True,0.0,稳定,inf
Zn70,Zn70,6.21e-06,Zn70,Zn70,1.674419688e+16,0.0,True,0.0,稳定,inf
Zn71,Zn71,9.73e-06,Zn71,Zn71,6439671194931.697,30364897500.0,False,0.004715286942584662,2.45 分钟,147.0
Zn71,Zn71,9.73e-06,Ga71,Ga-71,2.6228831768805068e+16,0.0,True,0.0,稳定,inf
Zn72,Zn72,3.04e-05,Zn72,Zn72,2.2271712115717184e+16,92219680162.79654,False,4.140664161051047e-06,1.94 天,167400.0
Zn72,Zn72,3.04e-05,Ga72,Ga-72,6668891704855512.0,91066262464.14903,False,1.3655381807721538e-05,14.10 小时,50760.0
Zn72,Zn72,3.04e-05,Ge72,Ge-72,5.3027767379427304e+16,0.0,True,0.0,稳定,inf
Ga64,Ga64,1.71e-07,Ga64,Ga64,121350327209.0791,533648250.0,False,0.004397583939601227,2.63 分钟,157.61999999999998
Ga64,Ga64,1.71e-07,Zn64,Zn-64,460950737672790.94,0.0,True,0.0,稳定,inf
Ga65,Ga65,4.34e-07,Ga65,Ga65,1782042617560.8962,1354405500.0,False,0.000760029803245554,15.20 分钟,912.0
Ga65,Ga65,4.34e-07,Zn65,Zn-65,1152013005177728.8,37868010.90708438,False,3.2871166156012474e-08,244.06 天,21086784.0
Ga65,Ga65,4.34e-07,Cu65,Cu-65,16411304204710.191,0.0,True,0.0,稳定,inf
Ga66,Ga66,6.09e-08,Ga66,Ga66,9367409659174.102,190053670.36665866,False,2.0288818070481948e-05,9.49 小时,34164.0
Ga66,Ga66,6.09e-08,Zn66,Zn-66,154838965540825.9,0.0,True,0.0,稳定,inf
Ga67,Ga67,1.22e-08,Ga67,Ga67,13629270809886.18,33527942.718485557,False,2.4599953428297573e-06,3.26 天,281767.68
Ga67,Ga67,1.22e-08,Zn67,Zn-67,19265930790113.82,0.0,True,0.0,稳定,inf
Ga68,Ga68,8.12e-09,Ga68,Ga68,148522965340.25464,25340490.0,False,0.00017061664465119514,1.13 小时,4062.5999999999995
Ga68,Ga68,8.12e-09,Zn68,Zn-68,21745660394659.742,0.0,True,0.0,稳定,inf
Ga69,Ga69,6.9e-08,Ga69,Ga69,186046632000000.0,0.0,True,0.0,稳定,inf
Ga70,Ga70,3.78e-07,Ga70,Ga70,2158646615559.016,1179643500.0,False,0.0005464736522863018,21.14 分钟,1268.4
Ga70,Ga70,3.78e-07,Ge70,Ge-70,1012883418701164.9,0.0,True,0.0,稳定,inf
Ga70,Ga70,3.78e-07,Zn70,Zn-70,4169918683276.2085,0.0,True,0.0,稳定,inf
Ga71,Ga71,1.99e-06,Ga71,Ga71,5365692720000000.0,0.0,True,0.0,稳定,inf
Ga72,Ga72,4.9e-06,Ga72,Ga72,1119819295940740.8,15291560041.724731,False,1.3655381807721538e-05,14.10 小时,50760.0
Ga72,Ga72,4.9e-06,Ge72,Ge-72,1.2092187904059258e+16,0.0,True,0.0,稳定,inf
Ga73,Ga73,2e-05,Ga73,Ga73,1575441508855071.2,62414999999.99992,False,3.9617465738451376e-05,4.86 小时,17496.0
Ga73,Ga73,2e-05,Ge73,Ge-73,5.2351118491144936e+16,0.0,True,0.0,稳定,inf
Ga74,Ga74,3.04e-05,Ga74,Ga74,66682885044214.17,94870800000.0,False,0.0014227158878488205,8.12 分钟,487.19999999999993
Ga74,Ga74,3.04e-05,Ge74,Ge-74,8.190168831495579e+16,0.0,True,0.0,稳定,inf
Ge71,Ge71,7.71e-08,Ge71,Ge71,155875337848501.3,109406442.3428008,False,7.018842355237448e-07,11.43 天,987552.0
Ge71,Ge71,7.71e-08,Ga71,Ga-71,52011550951498.69,0.0,True,0.0,稳定,inf
Ge72,Ge72,4.59e-07,Ge72,Ge72,1237614552000000.0,0.0,True,0.0,稳定,inf
Ge73,Ge73,1.21e-06,Ge73,Ge73,3262556880000000.0,0.0,True,0.0,稳定,inf
Ge74,Ge74,8.85e-06,Ge74,Ge74,2.38625028e+16,0.0,True,0.0,稳定,inf
Ge75,Ge75,1.67e-05,Ge75,Ge75,373445010857421.75,52116525000.0,False,0.00013955608853989394,1.38 小时,4966.8
Ge75,Ge75,1.67e-05,As75,As-75,4.465523258914258e+16,0.0,True,0.0,稳定,inf
Ge77,Ge77,7.67e-05,Ge77,Ge77,1.4047843193620006e+16,239361428284.31476,False,1.7039016237953423e-05,11.30 小时,40680.0
Ge77,Ge77,7.67e-05,As77,As-77,4.733384500725552e+16,234707708900.9114,False,4.958559966234192e-06,1.62 天,139788.0
Ge77,Ge77,7.67e-05,Se77,Se-77,1.454266693991244e+17,0.0,True,0.0,稳定,inf
Ge78,Ge78,0.000177,Ge78,Ge78,4207660655337211.5,552372750000.0,False,0.00013127787510605024,1.47 小时,5280.0
Ge78,Ge78,0.000177,As78,As-78,4336759334535058.5,552372750000.0001,False,0.00012736993395074335,1.51 小时,5442.0
Ge78,Ge78,0.000177,Se78,Se-78,4.687056360101277e+17,0.0,True,0.0,稳定,inf
As68,As68,4.51e-07,As68,As68,307828808490.04205,1407458250.0,False,0.004572210953561645,2.53 分钟,151.6
As68,As68,4.51e-07,Ge68,Ge-68,1200321184373701.8,35540213.64792456,False,2.960891977130985e-08,270.95 天,23410080.0
As68,As68,4.51e-07,Ga68,Ga-68,206908821101.67026,35302088.80510138,False,0.00017061664465119514,1.13 小时,4062.5999999999995
As68,As68,4.51e-07,Zn68,Zn-68,0.0,0.0,True,0.0,稳定,inf
As69,As69,1.95e-07,As69,As69,802267655190.8846,608546250.0,False,0.0007585326992339081,15.23 分钟,913.8000000000001
As69,As69,1.95e-07,Ge69,Ge-69,121667442276496.58,599896461.6580844,False,4.930624417128648e-06,1.63 天,140580.0
As69,As69,1.95e-07,Ga69,Ga-69,403314250068312.5,0.0,True,0.0,稳定,inf
As70,As70,8.12e-09,As70,As70,115378939254.13373,25340489.999999996,False,0.0002196283842078407,52.60 分钟,3156.0
As70,As70,8.12e-09,Ge70,Ge-70,21778804420745.863,0.0,True,0.0,稳定,inf
As71,As71,8.12e-09,As71,As71,7919601983234.464,23358565.605579045,False,2.949462063248678e-06,2.72 天,235008.0
As71,As71,8.12e-09,Ge71,Ge-71,11150274517458.564,7826201.9055662975,False,7.018842355237448e-07,11.43 天,987552.0
As71,As71,8.12e-09,Ga71,Ga-71,2824306859306.963,0.0,True,0.0,稳定,inf
As73,As73,2.44e-08,As73,As73,63030867905086.086,6297228.618470199,False,9.990705868040354e-08,80.30 天,6937920.0
As73,As73,2.44e-08,Ge73,Ge-73,2759535294913.914,0.0,True,0.0,稳定,inf
As74,As74,2.07e-07,As74,As74,462158679229081.5,208648565.96046317,False,4.514652117071696e-07,17.77 天,1535328.0
As74,As74,2.07e-07,Ge74,Ge-74,63347603068806.19,0.0,True,0.0,稳定,inf
As74,As74,2.07e-07,Se74,Se-74,32633613702112.312,0.0,True,0.0,稳定,inf
As75,As75,1.84e-06,As75,As75,4961243520000000.0,0.0,True,0.0,稳定,inf
As76,As76,5.09e-06,As76,As76,2130606122135208.8,15859033259.213064,False,7.443437383592877e-06,1.08 天,93121.92000000001
